OPT target,SRAM 32MB Best Read Latency (ns),SRAM 32MB Best Write Latency (ns),SRAM 32MB Worst Read Latency (ns),SRAM 32MB Worst Write Latency (ns),SRAM 4MB Best Read Latency (ns),SRAM 4MB Worst Read Latency (ns),HZO3 4MB Read Latency (ns),HZO5 4MB Read Latency (ns),SRAM 32MB Best Read Latency (s),SRAM 32MB Best Write Latency (s),SRAM 32MB Worst Read Latency (s),SRAM 32MB Worst Write Latency (s),SRAM 4MB Best Read Latency (s),SRAM 4MB Worst Read Latency (s),HZO3 4MB Read Latency (s),HZO5 4MB Read Latency (s),SRAM 32MB Best Latency (s),SRAM 32MB Worst Latency (s),SRAM 4MB Best Latency (s),SRAM 4MB Worst Latency (s),HZO3 4MB Latency (s),HZO5 4MB Latency (s),SRAM 32MB Best Static Energy per Inference (mJ),SRAM 32MB Worst Static Energy per Inference (mJ),SRAM 4MB Best Static Energy per Inference (mJ),SRAM 4MB Worst Static Energy per Inference (mJ),HZO3 4MB Static Energy per Inference (mJ),HZO5 4MB Static Energy per Inference (mJ)
Area,90.91,90.903,90.91,90.903,76.80199999999999,76.80199999999999,51.992,51.992,2.944297079,1.6121832492120003,2.944297079,1.6121832492120003,0.244621129,0.244621129,0.165599095,0.165599095,2.944297079,2.944297079,0.244621129,0.244621129,0.165599095,0.165599095,285.52026494282495,285.52026494282495,47.12283572436633,47.12283572436633,0.20418368449996802,0.20418368449996802
ReadDynamicEnergy,5.252999999999999,5.246,5.252999999999999,5.246,10.006,10.006,12.761,12.761,0.170128617,0.09303888,0.170128617,0.09303888,0.031869990528000006,0.031869990528000006,0.040644908,0.040644908,0.170128617,0.170128617,0.031869990528000006,0.031869990528000006,0.040644908,0.040644908,18.801934217805314,18.801934217805314,6.675806915900161,6.675806915900161,0.050115171524544005,0.050115171524544005
ReadEDP,5.252999999999999,5.246,5.252999999999999,5.246,9.11,9.11,0.927968,0.927968,0.170128617,0.09303888,0.170128617,0.09303888,0.029016152,0.029016152,0.00295566,0.00295566,0.170128617,0.170128617,0.029016152,0.029016152,0.00295566,0.00295566,18.801934217805314,18.801934217805314,6.8563715612255995,6.8563715612255995,0.029246253,0.029246253
ReadLatency,2.6639999999999997,2.657,2.6639999999999997,2.657,4.698,4.698,0.884645,0.884645,0.086278819,0.047122437,0.086278819,0.047122437,0.014963543424000001,0.014963543424000001,0.002817672,0.002817672,0.086278819,0.086278819,0.014963543424000001,0.014963543424000001,0.002817672,0.002817672,9.263239103361023,9.263239103361023,3.1951355002398723,3.1951355002398723,0.055688473,0.055688473
WriteDynamicEnergy,4.516,4.51,4.516,4.51,8.107000000000001,8.107000000000001,50.031,50.031,0.14625943910400002,0.07998577,0.14625943910400002,0.07998577,0.025821508416000005,0.025821508416000005,0.159353138,0.159353138,0.14625943910400002,0.14625943910400002,0.025821508416000005,0.025821508416000005,0.159353138,0.159353138,16.182875639662083,16.182875639662083,5.719954722803905,5.719954722803905,50.29535603598682,50.29535603598682
WriteEDP,4.298,4.291,4.298,4.291,7.787000000000001,7.787000000000001,22.638,22.638,0.139199085,0.07610176,0.139199085,0.07610176,0.024802280256000002,0.024802280256000002,0.072104022,0.072104022,0.139199085,0.139199085,0.024802280256000002,0.024802280256000002,0.072104022,0.072104022,16.92243280137984,16.92243280137984,6.042108295444416,6.042108295444416,11.37887994258893,11.37887994258893
WriteLatency,2.6639999999999997,2.657,2.6639999999999997,2.657,4.698,4.698,0.896824,0.896824,0.086278819,0.047122437,0.086278819,0.047122437,0.014963543424000001,0.014963543424000001,0.002856463,0.002856463,0.086278819,0.086278819,0.014963543424000001,0.014963543424000001,0.002856463,0.002856463,9.263239103361023,9.263239103361023,3.1951355002398723,3.1951355002398723,0.2254920741421778,0.2254920741421778
