IO buffer OPT target,Weight buffer OPT target,Weight buffer Tech,IO Area (mm^2),Weight Area (mm^2),Systolic Array Area (mm^2),weight buffer carbon (g),io buffer carbon (g),systolic array carbon (g),total carbon (g)
ReadEDP,WriteDynamicEnergy,SRAM-Best,2.109,4.229,1.23904,56.194952,28.024392,16.464364,100.683708
ReadEDP,WriteEDP,HZO3,2.109,1.348,1.23904,18.971183,28.024392,16.464364,63.459939
ReadEDP,WriteEDP,HZO5,2.109,1.348,1.23904,19.098006,28.024392,16.464364,63.586762
ReadEDP,WriteEDP,SRAM-Best,2.109,4.456,1.23904,59.211328,28.024392,16.464364,103.700084
ReadEDP,WriteLatency,HZO3,2.109,1.523,1.23904,21.296743,28.024392,16.464364,65.785498
ReadEDP,WriteLatency,HZO5,2.109,1.523,1.23904,21.423584,28.024392,16.464364,65.91234
ReadEDP,WriteLatency,SRAM-Best,2.109,4.112,1.23904,54.640256,28.024392,16.464364,99.129012
ReadLatency,Area,HZO3,2.083,0.807463197,1.23904,11.788438,27.678904,16.464364,55.931705
ReadLatency,Area,HZO5,2.083,0.807463197,1.23904,11.915249,27.678904,16.464364,56.058517
ReadLatency,Area,SRAM-Best,2.083,3.874,1.23904,51.477712,27.678904,16.464364,95.62098
ReadLatency,ReadDynamicEnergy,HZO3,2.083,0.80947804,1.23904,11.815214,27.678904,16.464364,55.958481
ReadLatency,ReadDynamicEnergy,HZO5,2.083,0.80947804,1.23904,11.942026,27.678904,16.464364,56.085293
ReadLatency,ReadDynamicEnergy,SRAM-Best,2.083,4.098,1.23904,54.454224,27.678904,16.464364,98.597492
ReadLatency,ReadEDP,HZO3,2.083,0.982724629,1.23904,14.117309,27.678904,16.464364,58.260577
ReadLatency,ReadEDP,HZO5,2.083,0.982724629,1.23904,14.244121,27.678904,16.464364,58.387388
ReadLatency,ReadEDP,SRAM-Best,2.083,4.324,1.23904,57.457312,27.678904,16.464364,101.60058
ReadLatency,ReadLatency,HZO3,2.083,1.146,1.23904,16.287292,27.678904,16.464364,60.430559
ReadLatency,ReadLatency,HZO5,2.083,1.146,1.23904,16.414148,27.678904,16.464364,60.557416
ReadLatency,ReadLatency,SRAM-Best,2.083,4.112,1.23904,54.640256,27.678904,16.464364,98.783524
ReadLatency,WriteDynamicEnergy,HZO3,2.083,2.187,1.23904,30.119814,27.678904,16.464364,74.263081
ReadLatency,WriteDynamicEnergy,HZO5,2.083,2.187,1.23904,30.246636,27.678904,16.464364,74.389904
ReadLatency,WriteDynamicEnergy,SRAM-Best,2.083,4.229,1.23904,56.194952,27.678904,16.464364,100.33822
ReadLatency,WriteEDP,HZO3,2.083,1.348,1.23904,18.971183,27.678904,16.464364,63.114451
ReadLatency,WriteEDP,HZO5,2.083,1.348,1.23904,19.098006,27.678904,16.464364,63.241274
ReadLatency,WriteEDP,SRAM-Best,2.083,4.456,1.23904,59.211328,27.678904,16.464364,103.354596
ReadLatency,WriteLatency,HZO3,2.083,1.523,1.23904,21.296743,27.678904,16.464364,65.44001
ReadLatency,WriteLatency,HZO5,2.083,1.523,1.23904,21.423584,27.678904,16.464364,65.566852
ReadLatency,WriteLatency,SRAM-Best,2.083,4.112,1.23904,54.640256,27.678904,16.464364,98.783524
WriteDynamicEnergy,Area,HZO3,2.114,0.807463197,1.23904,11.788438,28.090832,16.464364,56.343633
WriteDynamicEnergy,Area,HZO5,2.114,0.807463197,1.23904,11.915249,28.090832,16.464364,56.470445
WriteDynamicEnergy,Area,SRAM-Best,2.114,3.874,1.23904,51.477712,28.090832,16.464364,96.032908
