IO buffer OPT target,weight buffer opt target,weight buffer tech,total area (mm^2),total_carbon_g
WriteDynamicEnergy,WriteDynamicEnergy,SRAM-Best,7.58204,100.750148
WriteDynamicEnergy,WriteEDP,HZO3,4.70104,63.526379
WriteDynamicEnergy,WriteEDP,HZO5,4.70104,63.653202
WriteDynamicEnergy,WriteEDP,SRAM-Best,7.80904,103.766524
WriteDynamicEnergy,WriteLatency,HZO3,4.87604,65.851939
WriteDynamicEnergy,WriteLatency,HZO5,4.87604,65.97878
WriteDynamicEnergy,WriteLatency,SRAM-Best,7.46504,99.195452
WriteEDP,Area,HZO3,4.273503197,57.845176
WriteEDP,Area,HZO5,4.273503197,57.971988
WriteEDP,Area,SRAM-Best,7.34004,97.534452
WriteEDP,ReadDynamicEnergy,HZO3,4.27551804,56.813084
WriteEDP,ReadDynamicEnergy,HZO5,4.27551804,56.813084
WriteEDP,ReadDynamicEnergy,SRAM-Best,7.564039999999999,100.510964
WriteEDP,ReadEDP,HZO3,4.448764629,60.174048
WriteEDP,ReadEDP,HZO5,4.448764629,60.300859
WriteEDP,ReadEDP,SRAM-Best,7.79004,103.514052
WriteEDP,ReadLatency,HZO3,4.61204,62.344031
WriteEDP,ReadLatency,HZO5,4.61204,62.470889
WriteEDP,ReadLatency,SRAM-Best,7.57804,100.696996
WriteEDP,WriteDynamicEnergy,HZO3,5.65304,75.117596
WriteEDP,WriteDynamicEnergy,HZO5,5.65304,75.117596
WriteEDP,WriteDynamicEnergy,SRAM-Best,7.69504,102.251692
WriteEDP,WriteEDP,HZO3,4.81404,65.027923
WriteEDP,WriteEDP,HZO5,4.81404,65.154746
WriteEDP,WriteEDP,SRAM-Best,7.92204,105.268068
WriteEDP,WriteLatency,HZO3,4.98904,67.353483
WriteEDP,WriteLatency,HZO5,4.98904,67.480324
WriteEDP,WriteLatency,SRAM-Best,7.57804,100.696996
WriteLatency,Area,HZO3,4.129503197,55.931704
WriteLatency,Area,HZO5,4.129503197,56.058516
WriteLatency,Area,SRAM-Best,7.196040000000001,95.62098
WriteLatency,ReadDynamicEnergy,HZO3,4.13151804,54.899612
WriteLatency,ReadDynamicEnergy,HZO5,4.13151804,54.899612
WriteLatency,ReadDynamicEnergy,SRAM-Best,7.42004,98.597492
WriteLatency,ReadEDP,HZO3,4.304764629,58.260576
WriteLatency,ReadEDP,HZO5,4.304764629,58.387387
WriteLatency,ReadEDP,SRAM-Best,7.64604,101.60058
WriteLatency,ReadLatency,HZO3,4.46804,60.430559
WriteLatency,ReadLatency,HZO5,4.46804,60.557417
WriteLatency,ReadLatency,SRAM-Best,7.43404,98.783524
WriteLatency,WriteDynamicEnergy,HZO3,5.50904,73.204124
WriteLatency,WriteDynamicEnergy,HZO5,5.50904,73.204124
WriteLatency,WriteDynamicEnergy,SRAM-Best,7.55104,100.33822
WriteLatency,WriteEDP,HZO3,4.67004,63.114451
WriteLatency,WriteEDP,HZO5,4.67004,63.241274
WriteLatency,WriteEDP,SRAM-Best,7.778040000000001,103.354596
WriteLatency,WriteLatency,HZO3,4.84504,65.440011
WriteLatency,WriteLatency,HZO5,4.84504,65.566852
WriteLatency,WriteLatency,SRAM-Best,7.43404,98.783524
