IO OPT target,Weight OPT target,Weight Tech,IO Dyn Read (mJ),IO Dyn Write (mJ),IO Static (mJ),Weight Dyn Read (mJ),Weight Static (mJ),Total Energy per Inference (mJ),Overall Carbon Emission (gCO2)
ReadLatency,ReadEDP,HZO5,2409.4914727679998,235.59444993600002,9.263239103361023,88.293824448,0.02924625313901568,2742.6722325084997,2797.3317764260473
ReadLatency,ReadEDP,SRAM-Best,2409.4914727679998,235.59444993600002,9.263239103361023,12.918716927999998,6.8563715612255995,2674.124250296586,2772.0901577061363
ReadLatency,ReadLatency,HZO3,2409.4914727679998,235.59444993600002,9.263239103361023,114.76827590399999,0.05568847284219264,2769.173126184203,2825.839822058233
ReadLatency,ReadLatency,HZO5,2409.4914727679998,235.59444993600002,9.263239103361023,114.76827590399999,0.05568847284219264,2769.173126184203,2825.966680058233
ReadLatency,ReadLatency,SRAM-Best,2409.4914727679998,235.59444993600002,9.263239103361023,492.003728448,3.1951355002398723,3149.5480257556005,3244.050680652286
ReadLatency,WriteDynamicEnergy,HZO3,2409.4914727679998,235.59444993600002,9.263239103361023,56.946188352,50.29535603598682,2761.5907061953476,2831.041273102877
ReadLatency,WriteDynamicEnergy,HZO5,2409.4914727679998,235.59444993600002,9.263239103361023,56.946188352,50.29535603598682,2761.5907061953476,2831.041273102877
ReadLatency,WriteDynamicEnergy,SRAM-Best,2409.4914727679998,235.59444993600002,9.263239103361023,48.266823552000005,5.719954722803905,2708.3359400821646,2804.9929869257357
ReadLatency,WriteEDP,HZO3,2409.4914727679998,235.59444993600002,9.263239103361023,49.072650816,11.37887994258893,2714.8006925659497,2774.2251835109114
ReadLatency,WriteEDP,HZO5,2409.4914727679998,235.59444993600002,9.263239103361023,49.072650816,11.37887994258893,2714.8006925659497,2774.3520065109115
ReadLatency,WriteEDP,SRAM-Best,2409.4914727679998,235.59444993600002,9.263239103361023,38.07772704,6.042108295444416,2698.468997142805,2798.155831145955
ReadLatency,WriteLatency,HZO3,2409.4914727679998,235.59444993600002,9.263239103361023,162.238827456,0.2254920741421778,2816.8134813375027,2878.4248763889764
ReadLatency,WriteLatency,HZO5,2409.4914727679998,235.59444993600002,9.263239103361023,162.238827456,0.2254920741421778,2816.8134813375027,2878.551717388976
ReadLatency,WriteLatency,SRAM-Best,2409.4914727679998,235.59444993600002,9.263239103361023,492.003728448,3.1951355002398723,3149.5480257556005,3244.050680652286
WriteDynamicEnergy,Area,HZO3,241.865697792,80.94347105599999,16.182875639662083,25.882025088,0.20418368449996802,365.07825326016206,420.9256705011257
WriteDynamicEnergy,Area,HZO5,241.865697792,80.94347105599999,16.182875639662083,25.882025088,0.20418368449996802,365.07825326016206,421.05248250112567
WriteDynamicEnergy,Area,SRAM-Best,241.865697792,80.94347105599999,16.182875639662083,746.374411392,47.12283572436633,1132.4892916040283,1226.9829189267318
WriteDynamicEnergy,ReadDynamicEnergy,HZO3,241.865697792,80.94347105599999,16.182875639662083,7.870352447999999,0.050115171524544005,346.91251210718667,401.75252824328965
WriteDynamicEnergy,ReadDynamicEnergy,HZO5,241.865697792,80.94347105599999,16.182875639662083,7.870352447999999,0.050115171524544005,346.91251210718667,401.75252824328965
WriteDynamicEnergy,ReadDynamicEnergy,SRAM-Best,241.865697792,80.94347105599999,16.182875639662083,12.472804607999999,6.675806915900161,358.14065601156227,456.66329084225424
WriteDynamicEnergy,ReadEDP,HZO3,241.865697792,80.94347105599999,16.182875639662083,88.293824448,0.02924625313901568,427.31511518880114,485.40681201931767
WriteDynamicEnergy,ReadEDP,HZO5,241.865697792,80.94347105599999,16.182875639662083,88.293824448,0.02924625313901568,427.31511518880114,485.53362301931764
WriteDynamicEnergy,ReadEDP,SRAM-Best,241.865697792,80.94347105599999,16.182875639662083,12.918716927999998,6.8563715612255995,358.7671329768877,460.2920042994068
WriteDynamicEnergy,ReadLatency,HZO3,241.865697792,80.94347105599999,16.182875639662083,114.76827590399999,0.05568847284219264,453.8160088645043,514.0416686515038
WriteDynamicEnergy,ReadLatency,HZO5,241.865697792,80.94347105599999,16.182875639662083,114.76827590399999,0.05568847284219264,453.8160088645043,514.1685266515038
WriteDynamicEnergy,ReadLatency,SRAM-Best,241.865697792,80.94347105599999,16.182875639662083,492.003728448,3.1951355002398723,834.190908435902,932.2525272455563
WriteDynamicEnergy,WriteDynamicEnergy,HZO3,241.865697792,80.94347105599999,16.182875639662083,56.946188352,50.29535603598682,446.2335888756489,519.243119696147
