IO OPT target,Weight OPT target,Weight Tech,IO Dyn Read (mJ),IO Dyn Write (mJ),IO Static (mJ),Weight Dyn Read (mJ),Weight Static (mJ),Total Energy per Inference (mJ)
Area,Area,HZO3,7433.321839104,462.58732593199994,285.52026494282495,25.882025088,0.20418368449996802,8207.515638751325
Area,Area,HZO5,7433.321839104,462.58732593199994,285.52026494282495,25.882025088,0.20418368449996802,8207.515638751325
Area,Area,SRAM-Best,7433.321839104,462.58732593199994,285.52026494282495,746.374411392,47.12283572436633,8974.92667709519
Area,ReadDynamicEnergy,HZO3,7433.321839104,462.58732593199994,285.52026494282495,7.870352447999999,0.050115171524544005,8189.349897598348
Area,ReadDynamicEnergy,HZO5,7433.321839104,462.58732593199994,285.52026494282495,7.870352447999999,0.050115171524544005,8189.349897598348
Area,ReadDynamicEnergy,SRAM-Best,7433.321839104,462.58732593199994,285.52026494282495,12.472804607999999,6.675806915900161,8200.578041502726
Area,ReadEDP,HZO3,7433.321839104,462.58732593199994,285.52026494282495,88.293824448,0.02924625313901568,8269.752500679964
Area,ReadEDP,HZO5,7433.321839104,462.58732593199994,285.52026494282495,88.293824448,0.02924625313901568,8269.752500679964
Area,ReadEDP,SRAM-Best,7433.321839104,462.58732593199994,285.52026494282495,12.918716927999998,6.8563715612255995,8201.20451846805
Area,ReadLatency,HZO3,7433.321839104,462.58732593199994,285.52026494282495,114.76827590399999,0.05568847284219264,8296.253394355668
Area,ReadLatency,HZO5,7433.321839104,462.58732593199994,285.52026494282495,114.76827590399999,0.05568847284219264,8296.253394355668
Area,ReadLatency,SRAM-Best,7433.321839104,462.58732593199994,285.52026494282495,492.003728448,3.1951355002398723,8676.628293927064
Area,WriteDynamicEnergy,HZO3,7433.321839104,462.58732593199994,285.52026494282495,56.946188352,50.29535603598682,8288.670974366813
Area,WriteDynamicEnergy,HZO5,7433.321839104,462.58732593199994,285.52026494282495,56.946188352,50.29535603598682,8288.670974366813
Area,WriteDynamicEnergy,SRAM-Best,7433.321839104,462.58732593199994,285.52026494282495,48.266823552000005,5.719954722803905,8235.41620825363
Area,WriteEDP,HZO3,7433.321839104,462.58732593199994,285.52026494282495,49.072650816,11.37887994258893,8241.880960737413
Area,WriteEDP,HZO5,7433.321839104,462.58732593199994,285.52026494282495,49.072650816,11.37887994258893,8241.880960737413
Area,WriteEDP,SRAM-Best,7433.321839104,462.58732593199994,285.52026494282495,38.07772704,6.042108295444416,8225.549265314268
Area,WriteLatency,HZO3,7433.321839104,462.58732593199994,285.52026494282495,162.238827456,0.2254920741421778,8343.893749508967
Area,WriteLatency,HZO5,7433.321839104,462.58732593199994,285.52026494282495,162.238827456,0.2254920741421778,8343.893749508967
Area,WriteLatency,SRAM-Best,7433.321839104,462.58732593199994,285.52026494282495,492.003728448,3.1951355002398723,8676.628293927064
ReadDynamicEnergy,Area,HZO3,69.04896460799999,414.702275132,18.801934217805314,25.882025088,0.20418368449996802,528.6393827303053
ReadDynamicEnergy,Area,HZO5,69.04896460799999,414.702275132,18.801934217805314,25.882025088,0.20418368449996802,528.6393827303053
ReadDynamicEnergy,Area,SRAM-Best,69.04896460799999,414.702275132,18.801934217805314,746.374411392,47.12283572436633,1296.0504210741715
ReadDynamicEnergy,ReadDynamicEnergy,HZO3,69.04896460799999,414.702275132,18.801934217805314,7.870352447999999,0.050115171524544005,510.4736415773299
ReadDynamicEnergy,ReadDynamicEnergy,HZO5,69.04896460799999,414.702275132,18.801934217805314,7.870352447999999,0.050115171524544005,510.4736415773299
ReadDynamicEnergy,ReadDynamicEnergy,SRAM-Best,69.04896460799999,414.702275132,18.801934217805314,12.472804607999999,6.675806915900161,521.7017854817054
ReadDynamicEnergy,ReadEDP,HZO3,69.04896460799999,414.702275132,18.801934217805314,88.293824448,0.02924625313901568,590.8762446589443
ReadDynamicEnergy,ReadEDP,HZO5,69.04896460799999,414.702275132,18.801934217805314,88.293824448,0.02924625313901568,590.8762446589443
ReadDynamicEnergy,ReadEDP,SRAM-Best,69.04896460799999,414.702275132,18.801934217805314,12.918716927999998,6.8563715612255995,522.328262447031
ReadDynamicEnergy,ReadLatency,HZO3,69.04896460799999,414.702275132,18.801934217805314,114.76827590399999,0.05568847284219264,617.3771383346475
ReadDynamicEnergy,ReadLatency,HZO5,69.04896460799999,414.702275132,18.801934217805314,114.76827590399999,0.05568847284219264,617.3771383346475
ReadDynamicEnergy,ReadLatency,SRAM-Best,69.04896460799999,414.702275132,18.801934217805314,492.003728448,3.1951355002398723,997.7520379060452
ReadDynamicEnergy,WriteDynamicEnergy,HZO3,69.04896460799999,414.702275132,18.801934217805314,56.946188352,50.29535603598682,609.7947183457921
ReadDynamicEnergy,WriteDynamicEnergy,HZO5,69.04896460799999,414.702275132,18.801934217805314,56.946188352,50.29535603598682,609.7947183457921
ReadDynamicEnergy,WriteDynamicEnergy,SRAM-Best,69.04896460799999,414.702275132,18.801934217805314,48.266823552000005,5.719954722803905,556.5399522326092
ReadDynamicEnergy,WriteEDP,HZO3,69.04896460799999,414.702275132,18.801934217805314,49.072650816,11.37887994258893,563.0047047163943
ReadDynamicEnergy,WriteEDP,HZO5,69.04896460799999,414.702275132,18.801934217805314,49.072650816,11.37887994258893,563.0047047163943
ReadDynamicEnergy,WriteEDP,SRAM-Best,69.04896460799999,414.702275132,18.801934217805314,38.07772704,6.042108295444416,546.6730092932497
ReadDynamicEnergy,WriteLatency,HZO3,69.04896460799999,414.702275132,18.801934217805314,162.238827456,0.2254920741421778,665.0174934879475
ReadDynamicEnergy,WriteLatency,HZO5,69.04896460799999,414.702275132,18.801934217805314,162.238827456,0.2254920741421778,665.0174934879475
ReadDynamicEnergy,WriteLatency,SRAM-Best,69.04896460799999,414.702275132,18.801934217805314,492.003728448,3.1951355002398723,997.7520379060452
ReadEDP,Area,HZO3,69.04896460799999,414.702275132,18.801934217805314,25.882025088,0.20418368449996802,528.6393827303053
ReadEDP,Area,HZO5,69.04896460799999,414.702275132,18.801934217805314,25.882025088,0.20418368449996802,528.6393827303053
ReadEDP,Area,SRAM-Best,69.04896460799999,414.702275132,18.801934217805314,746.374411392,47.12283572436633,1296.0504210741715
ReadEDP,ReadDynamicEnergy,HZO3,69.04896460799999,414.702275132,18.801934217805314,7.870352447999999,0.050115171524544005,510.4736415773299
ReadEDP,ReadDynamicEnergy,HZO5,69.04896460799999,414.702275132,18.801934217805314,7.870352447999999,0.050115171524544005,510.4736415773299
ReadEDP,ReadDynamicEnergy,SRAM-Best,69.04896460799999,414.702275132,18.801934217805314,12.472804607999999,6.675806915900161,521.7017854817054
ReadEDP,ReadEDP,HZO3,69.04896460799999,414.702275132,18.801934217805314,88.293824448,0.02924625313901568,590.8762446589443
ReadEDP,ReadEDP,HZO5,69.04896460799999,414.702275132,18.801934217805314,88.293824448,0.02924625313901568,590.8762446589443
ReadEDP,ReadEDP,SRAM-Best,69.04896460799999,414.702275132,18.801934217805314,12.918716927999998,6.8563715612255995,522.328262447031
ReadEDP,ReadLatency,HZO3,69.04896460799999,414.702275132,18.801934217805314,114.76827590399999,0.05568847284219264,617.3771383346475
