IO buffer OPT target,Weight buffer OPT target,Weight buffer Tech,IO Area (mm^2),Weight Area (mm^2),Systolic Array Area (mm^2)
WriteDynamicEnergy,ReadDynamicEnergy,SRAM-Best,2.114,4.098,1.23904
WriteDynamicEnergy,ReadEDP,HZO3,2.114,0.982724629,1.23904
WriteDynamicEnergy,ReadEDP,HZO5,2.114,0.982724629,1.23904
WriteDynamicEnergy,ReadEDP,SRAM-Best,2.114,4.324,1.23904
WriteDynamicEnergy,ReadLatency,HZO3,2.114,1.146,1.23904
WriteDynamicEnergy,ReadLatency,HZO5,2.114,1.146,1.23904
WriteDynamicEnergy,ReadLatency,SRAM-Best,2.114,4.112,1.23904
WriteDynamicEnergy,WriteDynamicEnergy,HZO3,2.114,2.187,1.23904
WriteDynamicEnergy,WriteDynamicEnergy,HZO5,2.114,2.187,1.23904
WriteDynamicEnergy,WriteDynamicEnergy,SRAM-Best,2.114,4.229,1.23904
WriteDynamicEnergy,WriteEDP,HZO3,2.114,1.348,1.23904
WriteDynamicEnergy,WriteEDP,HZO5,2.114,1.348,1.23904
WriteDynamicEnergy,WriteEDP,SRAM-Best,2.114,4.456,1.23904
WriteDynamicEnergy,WriteLatency,HZO3,2.114,1.523,1.23904
WriteDynamicEnergy,WriteLatency,HZO5,2.114,1.523,1.23904
WriteDynamicEnergy,WriteLatency,SRAM-Best,2.114,4.112,1.23904
WriteEDP,Area,HZO3,2.227,0.807463197,1.23904
WriteEDP,Area,HZO5,2.227,0.807463197,1.23904
WriteEDP,Area,SRAM-Best,2.227,3.874,1.23904
WriteEDP,ReadDynamicEnergy,HZO3,2.227,0.80947804,1.23904
WriteEDP,ReadDynamicEnergy,HZO5,2.227,0.80947804,1.23904
WriteEDP,ReadDynamicEnergy,SRAM-Best,2.227,4.098,1.23904
WriteEDP,ReadEDP,HZO3,2.227,0.982724629,1.23904
WriteEDP,ReadEDP,HZO5,2.227,0.982724629,1.23904
WriteEDP,ReadEDP,SRAM-Best,2.227,4.324,1.23904
WriteEDP,ReadLatency,HZO3,2.227,1.146,1.23904
WriteEDP,ReadLatency,HZO5,2.227,1.146,1.23904
WriteEDP,ReadLatency,SRAM-Best,2.227,4.112,1.23904
WriteEDP,WriteDynamicEnergy,HZO3,2.227,2.187,1.23904
WriteEDP,WriteDynamicEnergy,HZO5,2.227,2.187,1.23904
WriteEDP,WriteDynamicEnergy,SRAM-Best,2.227,4.229,1.23904
WriteEDP,WriteEDP,HZO3,2.227,1.348,1.23904
WriteEDP,WriteEDP,HZO5,2.227,1.348,1.23904
WriteEDP,WriteEDP,SRAM-Best,2.227,4.456,1.23904
WriteEDP,WriteLatency,HZO3,2.227,1.523,1.23904
WriteEDP,WriteLatency,HZO5,2.227,1.523,1.23904
WriteEDP,WriteLatency,SRAM-Best,2.227,4.112,1.23904
WriteLatency,Area,HZO3,2.083,0.807463197,1.23904
WriteLatency,Area,HZO5,2.083,0.807463197,1.23904
WriteLatency,Area,SRAM-Best,2.083,3.874,1.23904
WriteLatency,ReadDynamicEnergy,HZO3,2.083,0.80947804,1.23904
WriteLatency,ReadDynamicEnergy,HZO5,2.083,0.80947804,1.23904
WriteLatency,ReadDynamicEnergy,SRAM-Best,2.083,4.098,1.23904
WriteLatency,ReadEDP,HZO3,2.083,0.982724629,1.23904
WriteLatency,ReadEDP,HZO5,2.083,0.982724629,1.23904
WriteLatency,ReadEDP,SRAM-Best,2.083,4.324,1.23904
WriteLatency,ReadLatency,HZO3,2.083,1.146,1.23904
WriteLatency,ReadLatency,HZO5,2.083,1.146,1.23904
WriteLatency,ReadLatency,SRAM-Best,2.083,4.112,1.23904
WriteLatency,WriteDynamicEnergy,HZO3,2.083,2.187,1.23904
WriteLatency,WriteDynamicEnergy,HZO5,2.083,2.187,1.23904
WriteLatency,WriteDynamicEnergy,SRAM-Best,2.083,4.229,1.23904
WriteLatency,WriteEDP,HZO3,2.083,1.348,1.23904
WriteLatency,WriteEDP,HZO5,2.083,1.348,1.23904
WriteLatency,WriteEDP,SRAM-Best,2.083,4.456,1.23904
WriteLatency,WriteLatency,HZO3,2.083,1.523,1.23904
WriteLatency,WriteLatency,HZO5,2.083,1.523,1.23904
WriteLatency,WriteLatency,SRAM-Best,2.083,4.112,1.23904
