Layer,M,N,K,
qkv_1,128,1536,512,
attn_score_1,512,128,128,
attn_ctx_1,512,128,128,
attn_out_1,128,512,512,
mlp_up_1,128,768,512,
mlp_down_1,128,512,768,
qkv_2,128,1536,512,
attn_score_2,512,128,128,
attn_ctx_2,512,128,128,
attn_out_2,128,512,512,
mlp_up_2,128,768,512,
mlp_down_2,128,512,768,
qkv_3,128,1536,512,
attn_score_3,512,128,128,
attn_ctx_3,512,128,128,
attn_out_3,128,512,512,
mlp_up_3,128,768,512,
mlp_down_3,128,512,768,
