LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 26.801297776370973, 0.0683706575927831, 31.764501068291526, 9.901855019076438, 0.41182078169685415, 46.03658256880734,
1, 31.75361064285389, 0.0026242653423846187, 0.992300332589184, 26.11178132282308, 0.13727359389895138, 31.99177438307873,
2, 31.76324431256182, 0.08102868447082097, 31.76324431256182, 15.77458589589924, 0.9761677788369876, 45.829832172622446,
3, 31.069265037238342, 0.009907291147078553, 0.9709145324136982, 23.128503492153992, 0.27454718779790277, 32.0,
4, 31.06993304694454, 0.3170401331320872, 31.06993304694454, 9.817256896889063, 3.9046711153479503, 44.86682686934168,
5, 31.000950544024953, 0.010631327347059311, 0.9687797045007798, 26.32296890672016, 0.5490943755958055, 31.995123437976225,
6, 31.069331836916348, 0.31703399833588114, 31.069331836916348, 20.91184016879176, 7.809342230695901, 36.28944989377571,
7, 28.574935931913817, 0.03644762236213497, 0.8929667478723068, 14.444469120348872, 0.5490943755958055, 32.0,
8, 28.57504894109272, 1.1663285282078661, 28.57504894109272, 9.571919114841663, 7.8112038140643625, 41.38813279719559,
9, 28.094013239777052, 0.04155919118310215, 0.8779379137430329, 9.817256896889063, 1.098188751191611, 32.0,
10, 28.574540406826717, 1.166307771707213, 28.574540406826717, 9.817256896889063, 7.812134938610084, 33.44713160854893,
11, 21.628622060443508, 0.1103501125532832, 0.6758944393888596, 9.817256896889063, 1.098188751191611, 32.0,
12, 21.628168862307714, 3.531129610172688, 21.628168862307714, 9.571919114841663, 8.928610354223434, 31.474321781401912,
13, 19.361909486154474, 0.13445770476496163, 0.6050596714423273, 9.571919114841663, 2.196377502383222, 32.0,
14, 21.627877530677946, 3.5310820458249705, 21.627877530677946, 9.571919114841663, 9.615376150827128, 25.430202724105165,
15, 19.361909486154474, 0.13445770476496163, 0.6050596714423273, 9.571919114841663, 2.196377502383222, 32.0,
16, 21.627877530677946, 3.5310820458249705, 21.627877530677946, 9.571919114841663, 9.615376150827128, 25.430202724105165,
17, 19.361909486154474, 0.13445770476496163, 0.6050596714423273, 9.571919114841663, 2.196377502383222, 32.0,
18, 21.627877530677946, 3.5310820458249705, 21.627877530677946, 9.571919114841663, 9.615376150827128, 25.430202724105165,
19, 19.361909486154474, 0.13445770476496163, 0.6050596714423273, 9.571919114841663, 2.196377502383222, 32.0,
20, 21.627877530677946, 3.5310820458249705, 21.627877530677946, 9.571919114841663, 9.615376150827128, 25.430202724105165,
21, 19.361909486154474, 0.13445770476496163, 0.6050596714423273, 9.571919114841663, 2.196377502383222, 32.0,
22, 21.627877530677946, 3.5310820458249705, 21.627877530677946, 9.571919114841663, 9.615376150827128, 25.430202724105165,
23, 10.965567480938274, 0.22378709144771988, 0.34267398377932107, 9.571919114841663, 2.196377502383222, 31.92760180995475,
24, 10.965184729905074, 7.16093696646862, 10.965184729905074, 9.571919114841663, 9.615552498853736, 16.134060810675027,
25, 2.7962107676229646, 0.3106900852914405, 0.08738158648821764, 9.571919114841663, 4.392755004766444, 32.0,
26, 10.965109846958637, 7.160888063319925, 10.965109846958637, 9.571919114841663, 4.1746497489817935, 13.00247795350193,
