LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 3.8405926840561815, 0.006667695632041982, 3.982836857539744, 8.788302606484425, 0.8212927756653993, 4.0,
1, 3.981289361590927, 0.0018815167115269031, 0.9953223403977317, 5.8588684043229495, 0.2737642585551331, 4.0,
2, 3.982929069202096, 0.006914807411809195, 3.982929069202096, 5.8588684043229495, 0.4866920152091255, 4.0,
3, 3.931926996918701, 0.006826262147428301, 0.9829817492296753, 7.811824539097266, 0.5475285171102662, 4.0,
4, 3.931950295984214, 0.027305210388779266, 3.931950295984214, 5.8588684043229495, 1.946768060836502, 4.0,
5, 3.91913852728653, 0.00809739365141845, 0.9797846318216324, 5.8588684043229495, 1.0950570342205324, 4.0,
6, 3.931845452363811, 0.02730448230808202, 3.931845452363811, 5.8588684043229495, 3.893536121673004, 4.0,
7, 3.7405970956976637, 0.025976368720122666, 0.9351492739244159, 5.8588684043229495, 1.0950570342205324, 4.0,
8, 3.7404494952057226, 0.10390137486682563, 3.7404494952057226, 2.9294342021614748, 7.787072243346008, 4.0,
9, 3.6365932192688932, 0.03636593219268893, 0.9091483048172233, 5.8588684043229495, 2.1901140684410647, 4.0,
10, 3.7403546153260785, 0.1038987393146133, 3.7403546153260785, 5.8588684043229495, 7.801904761904762, 4.0,
11, 3.130907443756606, 0.08696965121546127, 0.7827268609391514, 5.8588684043229495, 2.1901140684410647, 4.0,
12, 3.1305677041314595, 0.3478408560146066, 3.1305677041314595, 1.4647171010807374, 7.809342230695901, 4.0,
13, 2.4618672365433416, 0.15386670228395885, 0.6154668091358354, 2.9294342021614748, 4.380228136882129, 4.0,
14, 3.1305012419591107, 0.3478334713287901, 3.1305012419591107, 2.9294342021614748, 8.928610354223434, 4.0,
15, 2.4618672365433416, 0.15386670228395885, 0.6154668091358354, 2.9294342021614748, 4.380228136882129, 4.0,
16, 3.1305012419591107, 0.3478334713287901, 3.1305012419591107, 2.9294342021614748, 8.928610354223434, 4.0,
17, 2.4618672365433416, 0.15386670228395885, 0.6154668091358354, 2.9294342021614748, 4.380228136882129, 4.0,
18, 3.1305012419591107, 0.3478334713287901, 3.1305012419591107, 2.9294342021614748, 8.928610354223434, 4.0,
19, 2.4618672365433416, 0.15386670228395885, 0.6154668091358354, 2.9294342021614748, 4.380228136882129, 4.0,
20, 3.1305012419591107, 0.3478334713287901, 3.1305012419591107, 2.9294342021614748, 8.928610354223434, 4.0,
21, 2.4618672365433416, 0.15386670228395885, 0.6154668091358354, 2.9294342021614748, 4.380228136882129, 4.0,
22, 3.1305012419591107, 0.3478334713287901, 3.1305012419591107, 2.9294342021614748, 8.928610354223434, 4.0,
23, 1.8950831657832206, 0.21056479619813562, 0.47377079144580514, 2.9294342021614748, 4.380228136882129, 4.0,
24, 1.89478553622369, 0.8421269049883067, 1.89478553622369, 0.7323585505403687, 9.615023474178404, 4.0,
25, 0.36369376479873716, 0.36369376479873716, 0.09092344119968429, 1.4647171010807374, 8.760456273764259, 4.0,
26, 1.894761188851625, 0.8421160839340555, 1.894761188851625, 1.4647171010807374, 9.616434336023477, 4.0,
27, 0.36369376479873716, 0.36369376479873716, 0.09092344119968429, 1.4647171010807374, 8.760456273764259, 4.0,
28, 0.36415362731152207, 0.7283072546230441, 0.18207681365576103, 0.16274634456452639, 1.946768060836502, 4.0,
