LayerID, Sparsity Representation, Original Filter Storage, New Storage (Filter+Metadata), Filter Metadata Storage, Avg FILTER Metadata SRAM BW, 
0, ellpack_block, 9408, 5032.0, 296.0, 0.01637802246444973,
1, ellpack_block, 36864, 19584.0, 1152.0, 0.06332801935022814,
2, ellpack_block, 36864, 19584.0, 1152.0, 0.06332801935022814,
3, ellpack_block, 36864, 19584.0, 1152.0, 0.06332801935022814,
4, ellpack_block, 36864, 19584.0, 1152.0, 0.06332801935022814,
5, ellpack_block, 73728, 39168.0, 2304.0, 0.1641142531519339,
6, ellpack_block, 147456, 78336.0, 4608.0, 0.28895717062770426,
7, ellpack_block, 8192, 4352.0, 256.0, 0.187683284457478,
8, ellpack_block, 147456, 78336.0, 4608.0, 0.28895717062770426,
9, ellpack_block, 147456, 78336.0, 4608.0, 0.28895717062770426,
10, ellpack_block, 294912, 156672.0, 9216.0, 0.38264479966784304,
11, ellpack_block, 589824, 313344.0, 18432.0, 0.26025811188613707,
12, ellpack_block, 32768, 17408.0, 1024.0, 0.8441879637262985,
13, ellpack_block, 589824, 313344.0, 18432.0, 0.26025811188613707,
14, ellpack_block, 589824, 313344.0, 18432.0, 0.26025811188613707,
15, ellpack_block, 1179648, 626688.0, 36864.0, 0.1114055950607285,
16, ellpack_block, 2359296, 1253376.0, 73728.0, 0.08434279360336419,
17, ellpack_block, 131072, 69632.0, 4096.0, 1.4987193560190266,
18, ellpack_block, 2359296, 1253376.0, 73728.0, 0.08434279360336419,
19, ellpack_block, 2359296, 1253376.0, 73728.0, 0.08434279360336419,
20, ellpack_block, 512000, 272000.0, 16000.0, 0.314626184764227,
