LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 18073, 5592, 38.4443472306756, 28.90625, 27.739362756761043,
1, 18191, 8298, 36.06728602055962, 37.5, 31.927007299270077,
2, 18191, 8298, 36.06728602055962, 37.5, 31.927007299270077,
3, 18191, 8298, 36.06728602055962, 37.5, 31.927007299270077,
4, 18191, 8298, 36.06728602055962, 37.5, 31.927007299270077,
5, 14039, 10542, 25.12999501388988, 75.0, 45.475638051044086,
6, 15947, 10658, 38.15137643443908, 90.0, 51.34177215189874,
7, 1364, 142, 30.828445747800586, 25.0, 15.574074074074073,
8, 15947, 10658, 38.15137643443908, 90.0, 51.34177215189874,
9, 15947, 10658, 38.15137643443908, 90.0, 51.34177215189874,
10, 24085, 18306, 14.648121237284617, 90.0, 25.02127659574468,
11, 70822, 61355, 7.319759396797605, 100.0, 22.052067381317006,
12, 1213, 0, 37.09810387469085, 50.0, 15.326975476839236,
13, 70822, 61355, 7.319759396797605, 100.0, 22.052067381317006,
14, 70822, 61355, 7.319759396797605, 100.0, 22.052067381317006,
15, 330899, 315384, 1.0661863589796283, 100.0, 8.781362007168452,
16, 874147, 844844, 0.4118300468914267, 100.0, 4.681647940074907,
17, 2733, 950, 18.733991950237833, 100.0, 11.169284467713787,
18, 874147, 844844, 0.4118300468914267, 100.0, 4.681647940074907,
19, 874147, 844844, 0.4118300468914267, 100.0, 4.681647940074907,
20, 50854, 44727, 0.06145042671176309, 97.65625, 0.19148284313725492,
