LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 66847.0, 3584, 1.0, 31378.0, 9408, 255.0, 67129.0, 1548800, -164.0, 66824.0, 3329200, -164.0, 164.0, 16400, 524.0, 67364.0, 1548844,
1, 129.0, 169014.0, 3840, 1.0, 131792.0, 36864, 255.0, 169140.0, 933120, -164.0, 168959.0, 8405000, -164.0, 4289.0, 221400, 524.0, 169350.0, 933120,
2, 129.0, 169014.0, 3840, 1.0, 131792.0, 36864, 255.0, 169140.0, 933120, -164.0, 168959.0, 8405000, -164.0, 4289.0, 221400, 524.0, 169350.0, 933120,
3, 129.0, 169014.0, 3840, 1.0, 131792.0, 36864, 255.0, 169140.0, 933120, -164.0, 168959.0, 8405000, -164.0, 4289.0, 221400, 524.0, 169350.0, 933120,
4, 129.0, 169014.0, 3840, 1.0, 131792.0, 36864, 255.0, 169140.0, 933120, -164.0, 168959.0, 8405000, -164.0, 4289.0, 221400, 524.0, 169350.0, 933120,
5, 3033.0, 34503.0, 3840, 164.0, 19139.0, 73728, 3159.0, 34741.0, 501760, -164.0, 34484.0, 1722000, -164.0, 19139.0, 959400, 3286.0, 34941.0, 501925,
6, 6003.0, 141023.0, 6912, 164.0, 79694.0, 147456, 6129.0, 141149.0, 778752, -164.0, 140909.0, 7011000, -164.0, 79694.0, 3968800, 6256.0, 141315.0, 778798,
7, 129.0, 1729.0, 256, 65.0, 128.0, 8192, 255.0, 2221.0, 107648, -164.0, 989.0, 57400, -164.0, -1.0, 8200, 382.0, 2407.0, 107648,
8, 6003.0, 141023.0, 6912, 164.0, 79694.0, 147456, 6129.0, 141149.0, 778752, -164.0, 140909.0, 7011000, -164.0, 79694.0, 3968800, 6256.0, 141315.0, 778798,
9, 6003.0, 141023.0, 6912, 164.0, 79694.0, 147456, 6129.0, 141149.0, 778752, -164.0, 140909.0, 7011000, -164.0, 79694.0, 3968800, 6256.0, 141315.0, 778798,
10, 11716.0, 219638.0, 13824, 164.0, 219330.0, 294912, 11842.0, 219816.0, 451584, -164.0, 51149.0, 2550200, -164.0, 219284.0, 10906000, 11969.0, 220012.0, 452599,
11, 23598.0, 913911.0, 27648, 164.0, 913640.0, 589824, 23724.0, 914051.0, 663552, -164.0, 240404.0, 11955600, -164.0, 913604.0, 45411600, 23851.0, 914392.0, 664867,
12, 1383.0, 3969.0, 512, 164.0, 3629.0, 32768, 1509.0, 4265.0, 57600, -164.0, 989.0, 57400, -164.0, 3629.0, 188600, 1636.0, 4434.0, 57665,
13, 23598.0, 913911.0, 27648, 164.0, 913640.0, 589824, 23724.0, 914051.0, 663552, -164.0, 240404.0, 11955600, -164.0, 913604.0, 45411600, 23851.0, 914392.0, 664867,
14, 23598.0, 913911.0, 27648, 164.0, 913640.0, 589824, 23724.0, 914051.0, 663552, -164.0, 240404.0, 11955600, -164.0, 913604.0, 45411600, 23851.0, 914392.0, 664867,
15, 47363.0, 3940043.0, 55296, 164.0, 3939875.0, 1179648, 47489.0, 3940177.0, 451584, -164.0, 105929.0, 5272600, -164.0, 3939869.0, 195807800, 95421.0, 3940196.0, 451584,
16, 94892.0, 18894311.0, 110592, 164.0, 18894159.0, 2359296, 95018.0, 18894437.0, 460800, -164.0, 333959.0, 16605000, -164.0, 18894149.0, 938990200, 333222.0, 18894476.0, 460800,
17, 5343.0, 63211.0, 2048, 164.0, 63029.0, 131072, 5469.0, 63346.0, 65536, -164.0, 3464.0, 180400, -164.0, 63029.0, 3140600, 13656.0, 63509.0, 65536,
18, 94892.0, 18894311.0, 110592, 164.0, 18894159.0, 2359296, 95018.0, 18894437.0, 460800, -164.0, 333959.0, 16605000, -164.0, 18894149.0, 938990200, 333222.0, 18894476.0, 460800,
19, 94892.0, 18894311.0, 110592, 164.0, 18894159.0, 2359296, 95018.0, 18894437.0, 460800, -164.0, 333959.0, 16605000, -164.0, 18894149.0, 938990200, 333222.0, 18894476.0, 460800,
20, 30862.0, 1452458.0, 8192, 164.0, 1452330.0, 512000, 30988.0, 1452560.0, 4000, -11.0, -1.0, 550, -164.0, 1452329.0, 72184600, 1452584.0, 1452663.0, 4000,
