LayerID, Sparsity Representation, Original Filter Storage, New Storage (Filter+Metadata), Filter Metadata Storage, Avg FILTER Metadata SRAM BW, 
0, ellpack_block, 9408, 9996.0, 588.0, 0.0087509115532868,
1, ellpack_block, 36864, 39168.0, 2304.0, 0.013616699368809248,
2, ellpack_block, 36864, 39168.0, 2304.0, 0.013616699368809248,
3, ellpack_block, 36864, 39168.0, 2304.0, 0.013616699368809248,
4, ellpack_block, 36864, 39168.0, 2304.0, 0.013616699368809248,
5, ellpack_block, 73728, 78336.0, 4608.0, 0.13263866900780058,
6, ellpack_block, 147456, 156672.0, 9216.0, 0.06529270487215637,
7, ellpack_block, 8192, 8704.0, 512.0, 0.2305267897343539,
8, ellpack_block, 147456, 156672.0, 9216.0, 0.06529270487215637,
9, ellpack_block, 147456, 156672.0, 9216.0, 0.06529270487215637,
10, ellpack_block, 294912, 313344.0, 18432.0, 0.08385194890271863,
11, ellpack_block, 589824, 626688.0, 36864.0, 0.040330353557952454,
12, ellpack_block, 32768, 34816.0, 2048.0, 0.4801875732708089,
13, ellpack_block, 589824, 626688.0, 36864.0, 0.040330353557952454,
14, ellpack_block, 589824, 626688.0, 36864.0, 0.040330353557952454,
15, ellpack_block, 1179648, 1253376.0, 73728.0, 0.018711849746851476,
16, ellpack_block, 2359296, 2506752.0, 147456.0, 0.007804201839938391,
17, ellpack_block, 131072, 139264.0, 8192.0, 0.12932150412022858,
18, ellpack_block, 2359296, 2506752.0, 147456.0, 0.007804201839938391,
19, ellpack_block, 2359296, 2506752.0, 147456.0, 0.007804201839938391,
20, ellpack_block, 512000, 544000.0, 32000.0, 0.02202970705997037,
