LayerID, Sparsity Representation, Original Filter Storage, New Storage (Filter+Metadata), Filter Metadata Storage, Avg FILTER Metadata SRAM BW, 
0, ellpack_block, 9408, 9996.0, 588.0, 0.013862366503996039,
1, ellpack_block, 36864, 39168.0, 2304.0, 0.06908960057574667,
2, ellpack_block, 36864, 39168.0, 2304.0, 0.06908960057574667,
3, ellpack_block, 36864, 39168.0, 2304.0, 0.06908960057574667,
4, ellpack_block, 36864, 39168.0, 2304.0, 0.06908960057574667,
5, ellpack_block, 73728, 78336.0, 4608.0, 0.7905301080802882,
6, ellpack_block, 147456, 156672.0, 9216.0, 0.6673908320660439,
7, ellpack_block, 8192, 8704.0, 512.0, 0.41898527004909986,
8, ellpack_block, 147456, 156672.0, 9216.0, 0.6673908320660439,
9, ellpack_block, 147456, 156672.0, 9216.0, 0.6673908320660439,
10, ellpack_block, 294912, 313344.0, 18432.0, 1.7717965971354417,
11, ellpack_block, 589824, 626688.0, 36864.0, 1.946870874042778,
12, ellpack_block, 32768, 34816.0, 2048.0, 1.688375927452597,
13, ellpack_block, 589824, 626688.0, 36864.0, 1.946870874042778,
14, ellpack_block, 589824, 626688.0, 36864.0, 1.946870874042778,
15, ellpack_block, 1179648, 1253376.0, 73728.0, 1.0501666524228699,
16, ellpack_block, 2359296, 2506752.0, 147456.0, 0.39487235791734393,
17, ellpack_block, 131072, 139264.0, 8192.0, 2.2966077936641436,
18, ellpack_block, 2359296, 2506752.0, 147456.0, 0.39487235791734393,
19, ellpack_block, 2359296, 2506752.0, 147456.0, 0.39487235791734393,
20, ellpack_block, 512000, 544000.0, 32000.0, 2.6111791105671154,
