Benchmark Name,MemoryCellInputFile,Total Dynamic Read Energy (mJ),Total Dynamic Write Energy (mJ),Total Read Latency (ms),Total Write Latency (ms),Area (mm^2),Area Efficiency (percent),Total Power,Area Efficiency (percent),Read Latency (ns),Write Latency (ns),Read Energy (pJ),Write Energy (pJ),Leakage Power (mW),Capacity (KB),CellArea (F^2),Source,ReadEDP (mJ·ms),WriteEDP (mJ·ms),Total memory latency (ms),Read Energy per access (pJ),Write Energy per access (pJ),Read  Static Energy per access (pJ),Write Static Energy per access (pJ),WriteEDP per access (nJ·ns),ReadEDP per access (nj·ns)
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_5_9.cell,0.0495216,0.013214400000000001,134.50320000000002,164.28239999999997,0.273908081,18.008,78.968736,18.008,18.680999999999997,68.45100000000001,6.877999999999999,5.506,78.906, 512, 15,FeFET_512MB_WriteDynamicEnergy_1BPC-main_dnn_study.csv,6.660813669120001,8.135527299839998,298.7856,1480.9209859999999,5406.700606000001,1474.042986,5401.194606000001,370.0940631813061,27.66508493946599
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_3_9.cell,0.1065816,0.036256800000000006,3.4781976,240.7728,0.171209401,3.601,39.5988384,3.601,0.483083,100.322,14.802999999999999,15.107000000000001,39.455999999999996, 64, 15,FeFET_64MB_ReadLatency_1BPC-main_dnn_study.csv,0.37071186532416,25.661950260479998,244.25099759999998,33.863522847999995,3973.411832,19.060522847999998,3958.304832,398.620621809904,0.016358892207980383
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_5_9.cell,0.1065816,0.0366264,3.4781976,120.7728,0.171209401,3.601,39.599208000000004,3.601,0.483083,50.321999999999996,14.802999999999999,15.261,39.455999999999996, 64, 15,FeFET_64MB_ReadLatency_1BPC-main_dnn_study.csv,0.37071186532416,12.872158260480001,124.2509976,33.863522847999995,2000.7658319999996,19.060522847999998,1985.5048319999996,100.68253819790397,0.016358892207980383
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_3_9.cell,0.0143856,0.35760959999999997,68.0472,264.012,0.054081551,91.205,0.6803722000000001,91.205,9.451,110.005,1.9980000000000002,149.004,0.308377, 512, 15,FeFET_512MB_Area_1BPC-main_dnn_study.csv,0.97889980032,3.7979710272,332.05920000000003,4.9124710270000005,182.92701188499998,2.9144710270000003,33.923011885,20.12288594240942,0.04642776367617701
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_5_9.cell,0.0143856,0.5140775999999999,68.0472,144.012,0.054081551,91.205,0.8368401999999999,91.205,9.451,60.005,1.9980000000000002,214.199,0.308377, 512, 15,FeFET_512MB_Area_1BPC-main_dnn_study.csv,0.97889980032,2.0716990272,212.0592,4.9124710270000005,232.70316188500001,2.9144710270000003,18.504161885000002,13.963353228909428,0.04642776367617701
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_3_9.cell,0.0026208000000000004,0.0900576,10.5768,243.648,0.007653249,80.562,0.2468804,80.562,1.469,101.52,0.364,37.524,0.154202, 64, 15,FeFET_64MB_ReadDynamicEnergy_1BPC-main_dnn_study.csv,0.027719677440000007,0.6385526784000001,254.2248,0.590522738,53.17858704,0.22652273800000003,15.65458704,5.3986901563008,0.0008674779021220001
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_5_9.cell,0.0026208000000000004,0.12933840000000002,10.5768,123.648,0.007653249,80.562,0.2861612,80.562,1.469,51.52,0.364,53.891000000000005,0.154202, 64, 15,FeFET_64MB_ReadDynamicEnergy_1BPC-main_dnn_study.csv,0.027719677440000007,0.3240566784,134.2248,0.590522738,61.835487040000004,0.22652273800000003,7.944487040000001,3.1857642923008003,0.0008674779021220001
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_3_9.cell,0.0133632,0.0064656,33.3,250.668,0.021169973,29.124,4.9518288,29.124,4.625,104.445,1.8559999999999999,2.694,4.9319999999999995, 64, 15,FeFET_64MB_WriteEDP_1BPC-main_dnn_study.csv,0.44499456,3.3497266176,283.968,24.6665,517.8167399999999,22.810499999999998,515.1227399999999,54.08336940929998,0.1140825625
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_5_9.cell,0.02448,0.0069576,65.44800000000001,141.36960000000005,0.067855324,9.086,19.7574376,9.086,9.09,58.903999999999996,3.4,2.8989999999999996,19.726, 64, 15,FeFET_64MB_WriteEDP_1BPC-main_dnn_study.csv,1.60216704,3.460727808000001,206.81760000000006,182.70934,1164.8393039999999,179.30934,1161.940304,68.61369436281599,1.6608279006
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_3_9.cell,0.09242639999999999,0.042288,3.954938400000001,241.0008,0.122767242,40.178,10.0007144,40.178,0.549297,100.417,12.837,17.62,9.866, 512, 15,FeFET_512MB_ReadLatency_1BPC-main_dnn_study.csv,0.3655407185337601,22.274836341119997,244.9557384,18.256364202,1008.334122,5.419364202000001,990.714122,101.253887528874,0.010028166087065995
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_5_9.cell,0.09242639999999999,0.0473856,3.954938400000001,121.0008,0.122767242,40.178,10.005812,40.178,0.549297,50.417,12.837,19.744,9.866, 512, 15,FeFET_512MB_ReadLatency_1BPC-main_dnn_study.csv,0.3655407185337601,11.183668341119999,124.9557384,18.256364202,517.158122,5.419364202000001,497.414122,26.073561036874,0.010028166087065995
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_3_9.cell,0.030254400000000004,0.013327200000000003,65.7864,261.4008,0.103268037,47.764,19.7705816,47.764,9.137,108.917,4.202,5.553,19.727, 512, 15,FeFET_512MB_WriteEDP_1BPC-main_dnn_study.csv,1.9903280601600002,7.9085243635200015,327.1872,184.447599,2154.158659,180.245599,2148.6056590000003,234.62449866230304,1.6852977120630002
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_5_9.cell,0.0495216,0.013214400000000001,134.50320000000002,164.28239999999997,0.273908081,18.008,78.968736,18.008,18.680999999999997,68.45100000000001,6.877999999999999,5.506,78.906, 512, 15,FeFET_512MB_WriteEDP_1BPC-main_dnn_study.csv,6.660813669120001,8.135527299839998,298.7856,1480.9209859999999,5406.700606000001,1474.042986,5401.194606000001,370.0940631813061,27.66508493946599
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_3_9.cell,0.008013600000000001,0.3570288,35.8344,253.3824,0.054494399,90.514,0.6734684,90.514,4.977,105.57600000000001,1.113,148.762,0.30842600000000003, 512, 15,FeFET_512MB_ReadDynamicEnergy_1BPC-main_dnn_study.csv,0.28716254784000006,2.03050520064,289.2168,2.648036202,181.32438337600001,1.5350362020000003,32.56238337600001,19.14350309930458,0.013179276177354001
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_5_9.cell,0.008013600000000001,0.5134968,35.8344,133.3824,0.054494399,90.514,0.8299364,90.514,4.977,55.576,1.113,213.957,0.30842600000000003, 512, 15,FeFET_512MB_ReadDynamicEnergy_1BPC-main_dnn_study.csv,0.28716254784000006,1.0688732006400001,169.21679999999998,2.648036202,231.098083376,1.5350362020000003,17.141083376,12.843507081704576,0.013179276177354001
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_3_9.cell,0.1198008,0.0407088,3.4871184000000004,240.7272,0.355159282,1.736,79.0695096,1.736,0.484322,100.303,16.639,16.962,78.90899999999999, 64, 15,FeFET_64MB_WriteLatency_1BPC-main_dnn_study.csv,0.41775957401472,28.83931114176,244.21431840000002,54.85636469799999,7931.771427,38.217364698,7914.809426999999,795.580469442381,0.026568144263264752
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_5_9.cell,0.1198008,0.0410016,3.4871184000000004,120.7272,0.355159282,1.736,79.0698024,1.736,0.484322,50.303000000000004,16.639,17.084,78.90899999999999, 64, 15,FeFET_64MB_WriteLatency_1BPC-main_dnn_study.csv,0.41775957401472,14.46321514176,124.2143184,54.85636469799999,3986.4434269999997,38.217364698,3969.359427,200.530063708381,0.026568144263264752
