Benchmark Name,MemoryCellInputFile,Total Dynamic Read Energy (mJ),Total Dynamic Write Energy (mJ),Total Read Latency (ms),Total Write Latency (ms),Area (mm^2),Area Efficiency (percent),Total Power,Area Efficiency (percent),Read Latency (ns),Write Latency (ns),Read Energy (pJ),Write Energy (pJ),Leakage Power (mW),Capacity (MB),CellArea (F^2),Source,ReadEDP (mJ·ms),WriteEDP (mJ·ms),Total memory latency (ms),Read Energy per access (pJ),Write Energy per access (pJ),WriteEDP per access (nJ·ns),ReadEDP per access (nj·ns)
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_6_9.cell,0.027979200000000003,0.45831120000000003,142.4592,4850.4,0.20890741599999998,94.444,1.1030174,94.444,19.785999999999998,2021.0,3.886,190.963,0.616727, 2, 15,FeFET_2MB_Area_1BPC-main_dnn_study.csv,3.9858944486400008,135.71031168,4992.8592,16.088560422,1437.368267,2904.921267607,0.318328256509692
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_7_9.cell,0.027979200000000003,0.5791344,142.4592,2450.4,0.20890741599999998,94.444,1.2238406,94.444,19.785999999999998,1021.0,3.886,241.30599999999998,0.616727, 2, 15,FeFET_2MB_Area_1BPC-main_dnn_study.csv,3.9858944486400008,68.56023168000002,2592.8592,16.088560422,870.984267,889.2749366070001,0.318328256509692
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_1_9.cell,0.0994536,0.09736080000000001,5.8503096,24002.4,0.262371022,75.199,2.6728144,75.199,0.812543,10001.0,13.812999999999999,40.567,2.476, 2, 15,FeFET_2MB_ReadEDP_1BPC-main_dnn_study.csv,0.58183435083456,2387.1250886400003,24008.2503096,15.824856467999998,24803.042999999998,248055.233043,0.012858376349078124
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_2_9.cell,0.0994536,0.4338768,5.8503096,2402.4,0.262371022,75.199,3.0093304,75.199,0.812543,1001.0,13.812999999999999,180.782,2.476, 2, 15,FeFET_2MB_ReadEDP_1BPC-main_dnn_study.csv,0.58183435083456,238.92732864,2408.2503096,15.824856467999998,2659.2580000000003,2661.9172580000004,0.012858376349078124
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_3_9.cell,0.0994536,0.21131279999999997,5.8503096,242.4648,0.262371022,75.199,2.7867664,75.199,0.812543,101.027,13.812999999999999,88.04700000000001,2.476, 2, 15,FeFET_2MB_ReadEDP_1BPC-main_dnn_study.csv,0.58183435083456,24.11399723328,248.3151096,15.824856467999998,338.18985200000003,34.166306178004,0.012858376349078124
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_4_9.cell,0.0994536,0.28965599999999997,5.8503096,242.4648,0.262371022,75.199,2.8651096,75.199,0.812543,101.027,13.812999999999999,120.69,2.476, 2, 15,FeFET_2MB_ReadEDP_1BPC-main_dnn_study.csv,0.58183435083456,24.11399723328,248.3151096,15.824856467999998,370.832852,37.464130539004,0.012858376349078124
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_5_9.cell,0.0994536,0.28965599999999997,5.8503096,122.4648,0.262371022,75.199,2.8651096,75.199,0.812543,51.027,13.812999999999999,120.69,2.476, 2, 15,FeFET_2MB_ReadEDP_1BPC-main_dnn_study.csv,0.58183435083456,12.17956523328,128.3151096,15.824856467999998,247.032852,12.605345339004,0.012858376349078124
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_6_9.cell,0.0994536,0.1472136,5.8503096,4802.4,0.262371022,75.199,2.7226672,75.199,0.812543,2001.0,13.812999999999999,61.339,2.476, 2, 15,FeFET_2MB_ReadEDP_1BPC-main_dnn_study.csv,0.58183435083456,477.61596864,4808.2503096,15.824856467999998,5015.815,10036.645815,0.012858376349078124
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_7_9.cell,0.0994536,0.17748239999999996,5.8503096,2402.4,0.262371022,75.199,2.752936,75.199,0.812543,1001.0,13.812999999999999,73.95100000000001,2.476, 2, 15,FeFET_2MB_ReadEDP_1BPC-main_dnn_study.csv,0.58183435083456,238.92732864,2408.2503096,15.824856467999998,2552.427,2554.979427,0.012858376349078124
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_1_9.cell,0.1372968,0.1099752,6.0994296,24002.4,0.524742045,75.199,5.199272,75.199,0.847143,10001.0,19.069000000000003,45.823,4.952, 4, 15,FeFET_4MB_ReadEDP_1BPC-main_dnn_study.csv,0.8374321659052799,3295.45271232,24008.4994296,23.264052136000004,49570.774999999994,495757.3207749999,0.019707978918647454
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_2_9.cell,0.1372968,0.4464935999999999,6.0994296,2402.4,0.524742045,75.199,5.5357904,75.199,0.847143,1001.0,19.069000000000003,186.03900000000002,4.952, 4, 15,FeFET_4MB_ReadEDP_1BPC-main_dnn_study.csv,0.8374321659052799,329.84183232,2408.4994296,23.264052136000004,5142.991,5148.133991000001,0.019707978918647454
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_3_9.cell,0.1372968,0.22392960000000003,6.0994296,242.5056,0.524742045,75.199,5.3132264,75.199,0.847143,101.044,19.069000000000003,93.304,4.952, 4, 15,FeFET_4MB_ReadEDP_1BPC-main_dnn_study.csv,0.8374321659052799,33.295242862079995,248.6050296,23.264052136000004,593.673888,59.987184339072,0.019707978918647454
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_4_9.cell,0.1372968,0.3022704,6.0994296,242.5056,0.524742045,75.199,5.3915672,75.199,0.847143,101.044,19.069000000000003,125.946,4.952, 4, 15,FeFET_4MB_ReadEDP_1BPC-main_dnn_study.csv,0.8374321659052799,33.295242862079995,248.6050296,23.264052136000004,626.315888,63.285462587072,0.019707978918647454
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_5_9.cell,0.1372968,0.3022704,6.0994296,122.5056,0.524742045,75.199,5.3915672,75.199,0.847143,51.044,19.069000000000003,125.946,4.952, 4, 15,FeFET_4MB_ReadEDP_1BPC-main_dnn_study.csv,0.8374321659052799,16.81962686208,128.6050296,23.264052136000004,378.71588799999995,19.331173787071997,0.019707978918647454
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_6_9.cell,0.1372968,0.15983039999999998,6.0994296,4802.4,0.524742045,75.199,5.249127199999999,75.199,0.847143,2001.0,19.069000000000003,66.596,4.952, 4, 15,FeFET_4MB_ReadEDP_1BPC-main_dnn_study.csv,0.8374321659052799,659.3541523199999,4808.4994295999995,23.264052136000004,9975.547999999999,19961.071547999996,0.019707978918647454
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_7_9.cell,0.1372968,0.1900992,6.0994296,2402.4,0.524742045,75.199,5.279395999999999,75.199,0.847143,1001.0,19.069000000000003,79.208,4.952, 4, 15,FeFET_4MB_ReadEDP_1BPC-main_dnn_study.csv,0.8374321659052799,329.84183232,2408.4994296,23.264052136000004,5036.16,5041.19616,0.019707978918647454
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_1_9.cell,0.1942776,0.06881999999999999,4.4645616000000015,24000.0,0.491068967,40.178,39.728097600000005,40.178,0.620078,10000.0,26.983,28.675,39.465, 2, 15,FeFET_2MB_ReadLatency_1BPC-main_dnn_study.csv,0.8673643127001602,4662.6624,24004.4645616,51.45437827000001,394678.67500000005,3946786.7500000005,0.03190572796890507
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_2_9.cell,0.1942776,0.0907224,4.4645616000000015,2400.0,0.491068967,40.178,39.75,40.178,0.620078,1000.0,26.983,37.801,39.465, 2, 15,FeFET_2MB_ReadLatency_1BPC-main_dnn_study.csv,0.8673643127001602,466.26624,2404.4645616,51.45437827000001,39502.801,39502.801,0.03190572796890507
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_3_9.cell,0.1942776,0.076236,4.4645616000000015,241.0848,0.491068967,40.178,39.735513600000004,40.178,0.620078,100.45200000000001,26.983,31.765,39.465, 2, 15,FeFET_2MB_ReadLatency_1BPC-main_dnn_study.csv,0.8673643127001602,46.83737634048,245.5493616,51.45437827000001,3996.1031800000005,401.4165566373601,0.03190572796890507
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_4_9.cell,0.1942776,0.08133599999999999,4.4645616000000015,241.0848,0.491068967,40.178,39.7406136,40.178,0.620078,100.45200000000001,26.983,33.89,39.465, 2, 15,FeFET_2MB_ReadLatency_1BPC-main_dnn_study.csv,0.8673643127001602,46.83737634048,245.5493616,51.45437827000001,3998.2281800000005,401.63001713736014,0.03190572796890507
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_5_9.cell,0.1942776,0.08133599999999999,4.4645616000000015,121.0848,0.491068967,40.178,39.7406136,40.178,0.620078,50.452,26.983,33.89,39.465, 2, 15,FeFET_2MB_ReadLatency_1BPC-main_dnn_study.csv,0.8673643127001602,23.52406434048,125.5493616,51.45437827000001,2024.9781800000003,102.16419913736001,0.03190572796890507
ResNet50_int, data/cell_cfgs/FeFET_HZO_15_6_9.cell,0.1942776,0.07206480000000001,4.4645616000000015,4800.0,0.491068967,40.178,39.7313424,40.178,0.620078,2000.0,26.983,30.026999999999997,39.465, 2, 15,FeFET_2MB_ReadLatency_1BPC-main_dnn_study.csv,0.8673643127001602,932.53248,4804.4645616,51.45437827000001,78960.027,157920.054,0.03190572796890507
