LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 12264.0, 1792, 92.0, 128.0, 2368, 255.0, 12417.0, 774400, -2622.0, 7868.0, 524400, -95.0, -1.0, 4750, 2334.0, 17482.0, 774450,
1, 129.0, 9538.0, 1536, 1.0, 6430.0, 9216, 255.0, 9712.0, 373248, -2622.0, 7868.0, 524400, -369.0, -1.0, 18450, 5338.0, 11997.0, 373262,
2, 129.0, 9538.0, 1536, 1.0, 6430.0, 9216, 255.0, 9712.0, 373248, -2622.0, 7868.0, 524400, -369.0, -1.0, 18450, 5338.0, 11997.0, 373262,
3, 129.0, 9538.0, 1536, 1.0, 6430.0, 9216, 255.0, 9712.0, 373248, -2622.0, 7868.0, 524400, -369.0, -1.0, 18450, 5338.0, 11997.0, 373262,
4, 129.0, 9538.0, 1536, 1.0, 6430.0, 9216, 255.0, 9712.0, 373248, -2622.0, 7868.0, 524400, -369.0, -1.0, 18450, 5338.0, 11997.0, 373262,
5, 129.0, 2092.0, 1536, 1.0, 1294.0, 18432, 255.0, 2331.0, 200704, -2622.0, -1.0, 131100, -369.0, -1.0, 18450, 1724.0, 3723.0, 200704,
6, 129.0, 3975.0, 2304, 1.0, 3268.0, 36864, 255.0, 4197.0, 259584, -2622.0, 2622.0, 262200, -738.0, -1.0, 36900, 2748.0, 6767.0, 259584,
7, 129.0, 954.0, 256, 113.0, 128.0, 2048, 255.0, 1222.0, 107648, -2153.0, -1.0, 107650, -41.0, -1.0, 2050, 1222.0, 3374.0, 107648,
8, 129.0, 3975.0, 2304, 1.0, 3268.0, 36864, 255.0, 4197.0, 259584, -2622.0, 2622.0, 262200, -738.0, -1.0, 36900, 2748.0, 6767.0, 259584,
9, 129.0, 3975.0, 2304, 1.0, 3268.0, 36864, 255.0, 4197.0, 259584, -2622.0, 2622.0, 262200, -738.0, -1.0, 36900, 2748.0, 6767.0, 259584,
10, 129.0, 3244.0, 4608, 1.0, 3018.0, 73728, 255.0, 3467.0, 150528, -1506.0, -1.0, 75300, -1475.0, -1.0, 73750, 3250.0, 3856.0, 150528,
11, 129.0, 5069.0, 7680, 1.0, 4862.0, 147456, 255.0, 5259.0, 184320, -1844.0, -1.0, 92200, -2622.0, 2622.0, 262200, 4000.0, 6323.0, 184320,
12, 129.0, 975.0, 512, 97.0, 735.0, 8192, 255.0, 1213.0, 57600, -576.0, -1.0, 28800, -164.0, -1.0, 8200, 1213.0, 2364.0, 57600,
13, 129.0, 5069.0, 7680, 1.0, 4862.0, 147456, 255.0, 5259.0, 184320, -1844.0, -1.0, 92200, -2622.0, 2622.0, 262200, 4000.0, 6323.0, 184320,
14, 129.0, 5069.0, 7680, 1.0, 4862.0, 147456, 255.0, 5259.0, 184320, -1844.0, -1.0, 92200, -2622.0, 2622.0, 262200, 4000.0, 6323.0, 184320,
15, 129.0, 17626.0, 15360, 1.0, 17515.0, 294912, 255.0, 17817.0, 125440, -628.0, -1.0, 31400, -2622.0, 15737.0, 917700, 17817.0, 20325.0, 125440,
16, 129.0, 93177.0, 27648, 1.0, 93025.0, 589824, 255.0, 93303.0, 115200, -576.0, -1.0, 28800, -2622.0, 91804.0, 4719600, 93303.0, 95606.0, 115200,
17, 129.0, 1584.0, 1024, 65.0, 1466.0, 32768, 255.0, 1783.0, 32768, -164.0, -1.0, 8200, -656.0, -1.0, 32800, 1783.0, 2438.0, 32768,
18, 129.0, 93177.0, 27648, 1.0, 93025.0, 589824, 255.0, 93303.0, 115200, -576.0, -1.0, 28800, -2622.0, 91804.0, 4719600, 93303.0, 95606.0, 115200,
19, 129.0, 93177.0, 27648, 1.0, 93025.0, 589824, 255.0, 93303.0, 115200, -576.0, -1.0, 28800, -2622.0, 91804.0, 4719600, 93303.0, 95606.0, 115200,
20, 129.0, 2937.0, 2048, 1.0, 2809.0, 128000, 255.0, 3039.0, 1000, -3.0, -1.0, 150, -2622.0, -1.0, 131100, 3063.0, 3082.0, 1000,
