LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg FILTER Metadata SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 0.1435782389231632, 0.18972838714846565, 0.011858024196779103, 62.04631039179553, 49.98570203031169, 50.0, 51.12218628292297,
1, 0.15711947626841244, 0.9427168576104746, 0.058919803600654665, 38.18003273322422, 49.98570203031169, 50.0, 56.045345345345346,
2, 0.15711947626841244, 0.9427168576104746, 0.058919803600654665, 38.18003273322422, 49.98570203031169, 50.0, 56.045345345345346,
3, 0.15711947626841244, 0.9427168576104746, 0.058919803600654665, 38.18003273322422, 49.98570203031169, 50.0, 56.045345345345346,
4, 0.15711947626841244, 0.9427168576104746, 0.058919803600654665, 38.18003273322422, 49.98570203031169, 50.0, 56.045345345345346,
5, 0.6589446589446589, 7.9073359073359075, 0.4942084942084942, 86.10210210210211, 50.0, 50.0, 100.352,
6, 0.5489635453895639, 8.783416726233023, 0.5489635453895639, 61.84989278055754, 49.9904671115348, 50.0, 64.57313432835821,
7, 0.20949263502454993, 1.6759410801963994, 0.10474631751227496, 88.09165302782324, 50.0, 50.0, 49.999071063632144,
8, 0.5489635453895639, 8.783416726233023, 0.5489635453895639, 61.84989278055754, 49.9904671115348, 50.0, 64.57313432835821,
9, 0.5489635453895639, 8.783416726233023, 0.5489635453895639, 61.84989278055754, 49.9904671115348, 50.0, 64.57313432835821,
10, 1.3291029708681859, 21.265647533890974, 1.3291029708681859, 43.4173637150274, 50.0, 50.0, 247.98682042833607,
11, 1.4603536794067313, 28.038790644609243, 1.7524244152880777, 35.04848830576155, 50.0, 49.9904671115348, 79.31153184165233,
12, 0.4220939818631492, 6.753503709810388, 0.4220939818631492, 47.48557295960428, 50.0, 50.0, 50.0,
13, 1.4603536794067313, 28.038790644609243, 1.7524244152880777, 35.04848830576155, 50.0, 49.9904671115348, 79.31153184165233,
14, 1.4603536794067313, 28.038790644609243, 1.7524244152880777, 35.04848830576155, 50.0, 49.9904671115348, 79.31153184165233,
15, 0.8620979962956726, 16.552281528876915, 1.0345175955548072, 7.040466969747993, 50.0, 49.98366013071895, 49.99601434834595,
16, 0.29632487701360083, 6.321597376290152, 0.3950998360181345, 1.2346869875566702, 50.0, 49.981467165111674, 50.0,
17, 0.5743129556926528, 18.37801458216489, 1.1486259113853057, 18.37801458216489, 50.0, 50.0, 49.951219512195124,
18, 0.29632487701360083, 6.321597376290152, 0.3950998360181345, 1.2346869875566702, 50.0, 49.981467165111674, 50.0,
19, 0.29632487701360083, 6.321597376290152, 0.3950998360181345, 1.2346869875566702, 50.0, 49.981467165111674, 50.0,
20, 0.6686255305256285, 41.78909565785178, 2.6118184786157363, 0.32647730982696704, 50.0, 50.0, 50.0,
