LayerID, Sparsity Representation, Original Filter Storage, New Storage (Filter+Metadata), Filter Metadata Storage, Avg FILTER Metadata SRAM BW, 
0, ellpack_block, 9408, 5032.0, 296.0, 0.023716048393558207,
1, ellpack_block, 36864, 19584.0, 1152.0, 0.11644597189932275,
2, ellpack_block, 36864, 19584.0, 1152.0, 0.11644597189932275,
3, ellpack_block, 36864, 19584.0, 1152.0, 0.11644597189932275,
4, ellpack_block, 36864, 19584.0, 1152.0, 0.11644597189932275,
5, ellpack_block, 73728, 39168.0, 2304.0, 0.6588504432370603,
6, ellpack_block, 147456, 78336.0, 4608.0, 0.871242200794101,
7, ellpack_block, 8192, 4352.0, 256.0, 0.20949263502454993,
8, ellpack_block, 147456, 78336.0, 4608.0, 0.871242200794101,
9, ellpack_block, 147456, 78336.0, 4608.0, 0.871242200794101,
10, ellpack_block, 294912, 156672.0, 9216.0, 1.5947395743208168,
11, ellpack_block, 589824, 313344.0, 18432.0, 1.9469736981092216,
12, ellpack_block, 32768, 17408.0, 1024.0, 0.8441879637262985,
13, ellpack_block, 589824, 313344.0, 18432.0, 1.9469736981092216,
14, ellpack_block, 589824, 313344.0, 18432.0, 1.9469736981092216,
15, ellpack_block, 1179648, 626688.0, 36864.0, 2.376023203351595,
16, ellpack_block, 2359296, 1253376.0, 73728.0, 2.5160563764802237,
17, ellpack_block, 131072, 69632.0, 4096.0, 2.2972518227706114,
18, ellpack_block, 2359296, 1253376.0, 73728.0, 2.5160563764802237,
19, ellpack_block, 2359296, 1253376.0, 73728.0, 2.5160563764802237,
20, ellpack_block, 512000, 272000.0, 16000.0, 2.6113921984658073,
