LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg FILTER Metadata SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 0.1435782389231632, 0.3794567742969313, 0.023716048393558207, 62.04631039179553, 50.0, 50.0, 50.0,
1, 0.2328919437986455, 1.863135550389164, 0.11644597189932275, 56.59274234307086, 50.0, 50.0, 49.99749955349169,
2, 0.2328919437986455, 1.863135550389164, 0.11644597189932275, 56.59274234307086, 50.0, 50.0, 49.99749955349169,
3, 0.2328919437986455, 1.863135550389164, 0.11644597189932275, 56.59274234307086, 50.0, 50.0, 49.99749955349169,
4, 0.2328919437986455, 1.863135550389164, 0.11644597189932275, 56.59274234307086, 50.0, 50.0, 49.99749955349169,
5, 0.6588504432370603, 10.541607091792965, 0.6588504432370603, 86.08979124964254, 50.0, 50.0, 49.99269345732315,
6, 0.7260351673284174, 13.939875212705616, 0.871242200794101, 81.79996218566836, 50.0, 50.0, 49.99884433144574,
7, 0.20949263502454993, 3.351882160392799, 0.20949263502454993, 88.09165302782324, 50.0, 50.0, 49.999071063632144,
8, 0.7260351673284174, 13.939875212705616, 0.871242200794101, 81.79996218566836, 50.0, 50.0, 49.99884433144574,
9, 0.7260351673284174, 13.939875212705616, 0.871242200794101, 81.79996218566836, 50.0, 50.0, 49.99884433144574,
10, 1.3289496452673473, 25.51583318913307, 1.5947395743208168, 43.41235507873334, 50.0, 50.0, 49.99601434834595,
11, 1.4602302735819161, 31.151579169747546, 1.9469736981092216, 35.045526565965986, 50.0, 50.0, 49.99638336347197,
12, 0.4220939818631492, 13.507007419620775, 0.8441879637262985, 47.48557295960428, 50.0, 50.0, 50.0,
13, 1.4602302735819161, 31.151579169747546, 1.9469736981092216, 35.045526565965986, 50.0, 50.0, 49.99638336347197,
14, 1.4602302735819161, 31.151579169747546, 1.9469736981092216, 35.045526565965986, 50.0, 50.0, 49.99638336347197,
15, 1.7820174025136963, 38.01637125362552, 2.376023203351595, 14.553142120528522, 50.0, 50.0, 49.998228520814884,
16, 1.8870422823601678, 40.25690202368358, 2.5160563764802237, 7.8626761765007, 50.0, 50.0, 50.0,
17, 0.5743129556926528, 36.75602916432978, 2.2972518227706114, 18.37801458216489, 50.0, 50.0, 49.951219512195124,
18, 1.8870422823601678, 40.25690202368358, 2.5160563764802237, 7.8626761765007, 50.0, 50.0, 50.0,
19, 1.8870422823601678, 40.25690202368358, 2.5160563764802237, 7.8626761765007, 50.0, 50.0, 50.0,
20, 0.6685164028072467, 41.78227517545292, 2.6113921984658073, 0.3264240248082259, 50.0, 50.0, 50.0,
