LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 17412, 4931, 39.903784028256375, 28.90625, 27.739362756761043,
1, 17637, 7744, 37.20020411634632, 37.5, 31.927007299270077,
2, 17637, 7744, 37.20020411634632, 37.5, 31.927007299270077,
3, 17637, 7744, 37.20020411634632, 37.5, 31.927007299270077,
4, 17637, 7744, 37.20020411634632, 37.5, 31.927007299270077,
5, 4516, 1019, 78.12223206377325, 75.0, 45.475638051044086,
6, 14450, 9161, 42.1038062283737, 90.0, 51.34177215189874,
7, 1222, 0, 34.41080196399346, 25.0, 15.574074074074073,
8, 14450, 9161, 42.1038062283737, 90.0, 51.34177215189874,
9, 14450, 9161, 42.1038062283737, 90.0, 51.34177215189874,
10, 5779, 0, 61.048624329468765, 90.0, 25.02127659574468,
11, 18356, 8889, 28.241446938330792, 100.0, 22.052067381317006,
12, 1213, 0, 37.09810387469085, 50.0, 15.326975476839236,
13, 18356, 8889, 28.241446938330792, 100.0, 22.052067381317006,
14, 18356, 8889, 28.241446938330792, 100.0, 22.052067381317006,
15, 93399, 77884, 3.7773423698326534, 100.0, 8.781362007168452,
16, 307114, 277811, 1.172203155831385, 100.0, 4.681647940074907,
17, 1783, 0, 28.71564778463264, 100.0, 11.169284467713787,
18, 307114, 277811, 1.172203155831385, 100.0, 4.681647940074907,
19, 307114, 277811, 1.172203155831385, 100.0, 4.681647940074907,
20, 6127, 0, 0.510037538762853, 97.65625, 0.19148284313725492,
