LayerID, Sparsity Representation, Original Filter Storage, New Storage (Filter+Metadata), Filter Metadata Storage, Avg FILTER Metadata SRAM BW, 
0, ellpack_block, 9408, 2516.0, 148.0, 0.009510956879377933,
1, ellpack_block, 36864, 9792.0, 576.0, 0.02933686462259346,
2, ellpack_block, 36864, 9792.0, 576.0, 0.02933686462259346,
3, ellpack_block, 36864, 9792.0, 576.0, 0.02933686462259346,
4, ellpack_block, 36864, 9792.0, 576.0, 0.02933686462259346,
5, ellpack_block, 73728, 19584.0, 1152.0, 0.2064516129032258,
6, ellpack_block, 147456, 39168.0, 2304.0, 0.17769551133734382,
7, ellpack_block, 8192, 2176.0, 128.0, 0.05763169743358847,
8, ellpack_block, 147456, 39168.0, 2304.0, 0.17769551133734382,
9, ellpack_block, 147456, 39168.0, 2304.0, 0.17769551133734382,
10, ellpack_block, 294912, 78336.0, 4608.0, 0.20045240995301897,
11, ellpack_block, 589824, 156672.0, 9216.0, 0.11924540020184768,
12, ellpack_block, 32768, 8704.0, 512.0, 0.3657142857142857,
13, ellpack_block, 589824, 156672.0, 9216.0, 0.11924540020184768,
14, ellpack_block, 589824, 156672.0, 9216.0, 0.11924540020184768,
15, ellpack_block, 1179648, 313344.0, 18432.0, 0.08385881582180002,
16, ellpack_block, 2359296, 626688.0, 36864.0, 0.04033622272457704,
17, ellpack_block, 131072, 34816.0, 2048.0, 0.7337871730562522,
18, ellpack_block, 2359296, 626688.0, 36864.0, 0.04033622272457704,
19, ellpack_block, 2359296, 626688.0, 36864.0, 0.04033622272457704,
20, ellpack_block, 512000, 136000.0, 8000.0, 0.12939330713118863,
