LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 15309.0, 1792, 92.0, 128.0, 2368, 255.0, 15497.0, 774400, -164.0, 8909.0, 451000, -95.0, -1.0, 4750, 414.0, 15798.0, 774465,
1, 129.0, 19361.0, 1536, 1.0, 7774.0, 9216, 255.0, 19570.0, 373248, -164.0, 16829.0, 844600, -164.0, 164.0, 16400, 524.0, 19887.0, 373313,
2, 129.0, 19361.0, 1536, 1.0, 7774.0, 9216, 255.0, 19570.0, 373248, -164.0, 16829.0, 844600, -164.0, 164.0, 16400, 524.0, 19887.0, 373313,
3, 129.0, 19361.0, 1536, 1.0, 7774.0, 9216, 255.0, 19570.0, 373248, -164.0, 16829.0, 844600, -164.0, 164.0, 16400, 524.0, 19887.0, 373313,
4, 129.0, 19361.0, 1536, 1.0, 7774.0, 9216, 255.0, 19570.0, 373248, -164.0, 16829.0, 844600, -164.0, 164.0, 16400, 524.0, 19887.0, 373313,
5, 1499.0, 5050.0, 1536, 164.0, 3573.0, 18432, 1625.0, 5580.0, 200704, -164.0, 4124.0, 213200, -164.0, 1814.0, 98400, 1752.0, 5825.0, 200769,
6, 1517.0, 12548.0, 2304, 164.0, 7723.0, 36864, 1643.0, 12966.0, 259584, -164.0, 11714.0, 590400, -164.0, 4289.0, 221400, 1770.0, 13240.0, 259649,
7, 129.0, 1582.0, 256, 113.0, 128.0, 2048, 255.0, 2221.0, 107648, -164.0, 164.0, 16400, -41.0, -1.0, 2050, 382.0, 2407.0, 107648,
8, 1517.0, 12548.0, 2304, 164.0, 7723.0, 36864, 1643.0, 12966.0, 259584, -164.0, 11714.0, 590400, -164.0, 4289.0, 221400, 1770.0, 13240.0, 259649,
9, 1517.0, 12548.0, 2304, 164.0, 7723.0, 36864, 1643.0, 12966.0, 259584, -164.0, 11714.0, 590400, -164.0, 4289.0, 221400, 1770.0, 13240.0, 259649,
10, 3033.0, 22686.0, 4608, 164.0, 22460.0, 73728, 3159.0, 22988.0, 150528, -164.0, 5939.0, 303400, -164.0, 22109.0, 1107000, 3286.0, 23217.0, 150893,
11, 6003.0, 77096.0, 7680, 164.0, 76889.0, 147456, 6129.0, 77286.0, 184320, -164.0, 16664.0, 836400, -164.0, 76889.0, 3829400, 6256.0, 77535.0, 184678,
12, 129.0, 1004.0, 512, 97.0, 764.0, 8192, 255.0, 1400.0, 57600, -164.0, -1.0, 8200, -164.0, -1.0, 8200, 382.0, 1569.0, 57665,
13, 6003.0, 77096.0, 7680, 164.0, 76889.0, 147456, 6129.0, 77286.0, 184320, -164.0, 16664.0, 836400, -164.0, 76889.0, 3829400, 6256.0, 77535.0, 184678,
14, 6003.0, 77096.0, 7680, 164.0, 76889.0, 147456, 6129.0, 77286.0, 184320, -164.0, 16664.0, 836400, -164.0, 76889.0, 3829400, 6256.0, 77535.0, 184678,
15, 11716.0, 219607.0, 15360, 164.0, 219496.0, 294912, 11842.0, 219798.0, 125440, -164.0, 8909.0, 451000, -164.0, 219449.0, 10914200, 24117.0, 219848.0, 125440,
16, 23598.0, 913792.0, 27648, 164.0, 913640.0, 589824, 23724.0, 913918.0, 115200, -164.0, 20789.0, 1041400, -164.0, 913604.0, 45411600, 72003.0, 913927.0, 115200,
17, 129.0, 2592.0, 1024, 65.0, 2474.0, 32768, 255.0, 2791.0, 32768, -164.0, -1.0, 8200, -164.0, 2474.0, 131200, 951.0, 2954.0, 32768,
18, 23598.0, 913792.0, 27648, 164.0, 913640.0, 589824, 23724.0, 913918.0, 115200, -164.0, 20789.0, 1041400, -164.0, 913604.0, 45411600, 72003.0, 913927.0, 115200,
19, 23598.0, 913792.0, 27648, 164.0, 913640.0, 589824, 23724.0, 913918.0, 115200, -164.0, 20789.0, 1041400, -164.0, 913604.0, 45411600, 72003.0, 913927.0, 115200,
20, 5139.0, 61701.0, 2048, 164.0, 61573.0, 128000, 5265.0, 61803.0, 1000, -3.0, -1.0, 150, -164.0, 61544.0, 3066800, 61827.0, 61846.0, 1000,
