M,N,K,shape_class,dtype,latency_us_wallclock,latency_us_device,program_us,host_us,cycles_compute,status
3113,3487,1473,r7,bf16,192.5300,56.1973,56.2025,136.3275,1174319,ok
5636,3459,3351,r7,bf16,326.3600,182.3618,182.3680,143.9920,4549607,ok
3513,1640,2010,r5,bf16,176.4900,36.6026,36.6077,139.8823,810159,ok
15,22,2172,r4,bf16,144.0800,1.3050,1.3108,142.7692,6748,ok
126,17,14,r0,bf16,138.6500,1.2023,1.2071,137.4429,507,ok
6,2665,2,r2,bf16,144.8000,1.2160,1.2219,143.5781,8147,ok
3,68,176,r4,bf16,143.3500,1.1288,1.1343,142.2157,769,ok
2624,2957,401,r7,bf16,153.5000,16.6651,16.6701,136.8299,288575,ok
2,2883,889,r6,bf16,149.6500,2.6529,2.6583,146.9918,61823,ok
195,1,16,r0,bf16,166.0400,1.6337,1.6422,164.3978,576,ok
215,2813,1,r2,bf16,140.5600,2.6882,2.6964,137.8636,13133,ok
103,143,10,r0,bf16,139.2500,1.2542,1.2599,137.9901,969,ok
3254,1193,2,r1,bf16,148.2300,8.5217,8.5272,139.7028,36359,ok
2320,113,1777,r5,bf16,149.2700,4.6396,4.6446,144.6254,37827,ok
5,5529,783,r6,bf16,142.9600,2.4928,2.4982,140.4618,119195,ok
116,4681,21,r2,bf16,145.2800,2.3277,2.3334,142.9466,18425,ok
10,258,368,r4,bf16,140.5200,1.2515,1.2572,139.2627,3527,ok
1705,4674,4,r2,bf16,151.9200,13.4934,13.4981,138.4219,77218,ok
158,5387,226,r6,bf16,140.0500,2.9997,3.0050,137.0450,46439,ok
1,5651,60,r2,bf16,144.3300,2.4563,2.4656,141.8644,17234,ok
2492,3846,717,r7,bf16,155.5301,23.1931,23.1983,132.3318,534563,ok
1,4,13,r0,bf16,139.6600,1.0816,1.0869,138.5731,382,ok
1971,5239,5,r3,bf16,150.4000,16.7302,16.7355,133.6645,96472,ok
1281,1206,83,r0,bf16,151.9600,4.4745,4.4805,147.4795,16629,ok
2290,1,21,r1,bf16,145.3600,1.8353,1.8450,143.5150,2671,ok
9,3964,1425,r6,bf16,148.9100,3.7790,3.7848,145.1252,145451,ok
2589,53,17,r1,bf16,139.9300,1.5244,1.5298,138.4002,2970,ok
1149,5226,1994,r6,bf16,178.6400,38.8086,38.8140,139.8260,1004335,ok
5298,5,444,r5,bf16,142.3100,1.9153,1.9212,140.3888,22719,ok
3208,242,24,r1,bf16,148.7800,2.7919,2.7972,145.9828,7179,ok
3272,3713,4610,r7,bf16,294.8100,156.5641,156.5693,138.2407,4055939,ok
6048,68,742,r5,bf16,146.7400,3.7148,3.7201,143.0199,38579,ok
3263,1,3,r1,bf16,146.8100,1.7301,1.7391,145.0709,3644,ok
2,2,23,r0,bf16,140.1400,1.0649,1.0711,139.0689,383,ok
1,3,287,r4,bf16,141.4600,1.1463,1.1547,140.3053,1148,ok
3,2183,12,r2,bf16,141.0700,1.1521,1.1576,139.9124,6929,ok
2700,1194,104,r1,bf16,149.8700,7.6483,7.6534,142.2166,30819,ok
2275,2914,928,r7,bf16,163.1700,23.2051,23.2103,139.9597,488887,ok
3,3360,23,r2,bf16,140.9500,1.1454,1.1510,139.7990,10394,ok
3122,4817,1,r3,bf16,162.4500,21.6145,21.6225,140.8275,133151,ok
56,42,211,r4,bf16,140.3300,1.2014,1.2074,139.1226,875,ok
2365,141,5856,r5,bf16,152.7300,11.5831,11.5885,141.1414,252723,ok
4920,5777,504,r7,bf16,186.7100,49.4853,49.4908,137.2191,975567,ok
2523,5653,6,r3,bf16,159.6600,20.9716,20.9772,138.6828,130724,ok
