M,N,K,shape_class,dtype,latency_us_wallclock,latency_us_device,program_us,host_us,cycles_compute,status
51,137,5,r0,bf16,111.4690,1.2428,15.6196,95.8493,865,ok
729,8,1,r0,bf16,107.9910,2.2314,15.5156,92.4755,1110,ok
1,172,15,r0,bf16,107.1700,1.9981,15.1375,92.0324,765,ok
1281,1206,83,r0,bf16,120.3400,6.1211,20.4434,99.8966,16629,ok
1,288,30,r0,bf16,108.2300,2.1116,16.4556,91.7745,1148,ok
142,218,80,r0,bf16,108.9401,1.1641,15.3132,93.6269,1047,ok
126,17,14,r0,bf16,119.2000,1.1145,15.6140,103.5860,507,ok
5,85,1,r0,bf16,115.4001,1.2189,17.3180,98.0820,386,ok
3,12,46,r0,bf16,110.8500,0.9894,15.9009,94.9491,384,ok
229,13,20,r0,bf16,108.8100,1.0873,18.2023,90.6077,610,ok
1,3,117,r0,bf16,106.9701,1.4325,14.5934,92.3767,382,ok
9,20,14,r0,bf16,109.4800,1.0432,16.0618,93.4182,390,ok
9,37,3,r0,bf16,109.9600,1.0855,15.3759,94.5841,390,ok
1,4,13,r0,bf16,108.7090,1.4283,15.1843,93.5247,382,ok
2,21,5,r0,bf16,117.7200,0.9788,16.9705,100.7495,383,ok
23,2,82,r0,bf16,108.3290,0.9482,15.7661,92.5629,404,ok
36,576,114,r0,bf16,116.6511,1.2484,15.1486,101.5025,2089,ok
13,37,30,r0,bf16,109.1600,0.9987,16.2598,92.9001,394,ok
25,10,35,r0,bf16,109.5200,1.0245,15.3732,94.1468,406,ok
864,1046,21,r0,bf16,113.0500,3.9714,19.3800,93.6700,11213,ok
17,1584,22,r0,bf16,109.9400,1.2041,15.8582,94.0817,5186,ok
2,2,38,r0,bf16,108.9800,0.9168,15.5565,93.4235,383,ok
2,1,7,r0,bf16,111.1401,2.1268,17.0553,94.0847,383,ok
51,30,11,r0,bf16,108.5600,1.1227,16.1591,92.4008,432,ok
83,170,8,r0,bf16,110.4000,1.3343,15.6384,94.7616,929,ok
16,1760,4,r0,bf16,111.1099,1.2735,15.8250,95.2849,5571,ok
356,26,6,r0,bf16,109.5000,1.2326,15.7150,93.7850,737,ok
2,685,30,r0,bf16,109.3890,1.0770,15.3250,94.0640,2303,ok
922,30,27,r0,bf16,112.8400,1.2946,15.9377,96.9023,1303,ok
2,20,3,r0,bf16,107.9800,0.9430,15.8202,92.1598,383,ok
1,1296,3,r0,bf16,108.8900,2.0996,15.9841,92.9059,4212,ok
3,4,6,r0,bf16,111.8999,0.9634,15.5873,96.3126,384,ok
62,3,121,r0,bf16,107.9700,0.9694,15.0454,92.9246,443,ok
1688,3,7,r0,bf16,114.2899,1.1013,17.4339,96.8560,2069,ok
171,761,11,r0,bf16,108.6800,1.6494,15.5927,93.0873,3317,ok
1026,11,11,r0,bf16,108.9100,1.2120,16.4437,92.4663,1407,ok
43,159,3,r0,bf16,115.5999,1.2457,18.0796,97.5204,849,ok
100,5,5,r0,bf16,109.0399,1.0891,20.7656,88.2744,481,ok
1447,895,53,r0,bf16,112.3700,4.5934,19.2406,93.1294,12802,ok
1,3,3,r0,bf16,106.3900,1.2383,14.7888,91.6012,382,ok
