LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 12481, 0, 55.66899186763881, 43.359375, 41.609044135141566,
1, 13191, 0, 49.738458039572436, 42.1875, 35.91788321167883,
2, 13191, 0, 49.738458039572436, 42.1875, 35.91788321167883,
3, 13191, 0, 49.738458039572436, 42.1875, 35.91788321167883,
4, 13191, 0, 49.738458039572436, 42.1875, 35.91788321167883,
5, 4663, 0, 75.65944670812782, 84.375, 51.1600928074246,
6, 7405, 0, 82.16070222822417, 96.42857142857143, 55.00904159132006,
7, 1222, 0, 34.41080196399346, 37.5, 23.36111111111111,
8, 7405, 0, 82.16070222822417, 96.42857142857143, 55.00904159132006,
9, 7405, 0, 82.16070222822417, 96.42857142857143, 55.00904159132006,
10, 8091, 0, 43.604004449388206, 96.42857142857143, 26.80851063829787,
11, 14727, 0, 35.200651863923405, 96.42857142857143, 21.26449354626997,
12, 1213, 0, 37.09810387469085, 75.0, 22.990463215258856,
13, 14727, 0, 35.200651863923405, 96.42857142857143, 21.26449354626997,
14, 14727, 0, 35.200651863923405, 96.42857142857143, 21.26449354626997,
15, 24135, 0, 14.617775015537601, 96.42857142857143, 8.467741935483861,
16, 43955, 0, 8.190194517119782, 100.0, 4.681647940074907,
17, 3567, 0, 14.353798710400897, 75.0, 8.37696335078534,
18, 43955, 0, 8.190194517119782, 100.0, 4.681647940074907,
19, 43955, 0, 8.190194517119782, 100.0, 4.681647940074907,
20, 9191, 0, 0.34000652812534, 97.65625, 0.19148284313725492,
