LayerID, Sparsity Representation, Original Filter Storage, New Storage (Filter+Metadata), Filter Metadata Storage, Avg FILTER Metadata SRAM BW, 
0, ellpack_block, 9408, 7548.0, 444.0, 0.03557407259033731,
1, ellpack_block, 36864, 29376.0, 1728.0, 0.13099840800545826,
2, ellpack_block, 36864, 29376.0, 1728.0, 0.13099840800545826,
3, ellpack_block, 36864, 29376.0, 1728.0, 0.13099840800545826,
4, ellpack_block, 36864, 29376.0, 1728.0, 0.13099840800545826,
5, ellpack_block, 73728, 58752.0, 3456.0, 0.7411537636714561,
6, ellpack_block, 147456, 117504.0, 6912.0, 0.9334233625928426,
7, ellpack_block, 8192, 6528.0, 384.0, 0.3142389525368249,
8, ellpack_block, 147456, 117504.0, 6912.0, 0.9334233625928426,
9, ellpack_block, 147456, 117504.0, 6912.0, 0.9334233625928426,
10, ellpack_block, 294912, 235008.0, 13824.0, 1.7085650723025585,
11, ellpack_block, 589824, 470016.0, 27648.0, 1.8773680994092483,
12, ellpack_block, 32768, 26112.0, 1536.0, 1.2662819455894476,
13, ellpack_block, 589824, 470016.0, 27648.0, 1.8773680994092483,
14, ellpack_block, 589824, 470016.0, 27648.0, 1.8773680994092483,
15, ellpack_block, 1179648, 940032.0, 55296.0, 2.2911124922311994,
16, ellpack_block, 2359296, 1880064.0, 110592.0, 2.516027755659197,
17, ellpack_block, 131072, 104448.0, 6144.0, 1.7224558452481076,
18, ellpack_block, 2359296, 1880064.0, 110592.0, 2.516027755659197,
19, ellpack_block, 2359296, 1880064.0, 110592.0, 2.516027755659197,
20, ellpack_block, 512000, 408000.0, 24000.0, 2.6112501360026115,
