d0,d1,d2,size,log2_size,latency_us
1,64,31062,1987968,20.922863,6.649361
1,64,35567,2276288,21.118252,7.370616
1,128,8,1024,10.000000,1.043855
1,128,9,1152,10.169925,1.630721
1,128,10,1280,10.321928,1.631238
1,128,12,1536,10.584963,1.631180
1,128,16,2048,11.000000,1.630657
1,128,18,2304,11.169925,1.586622
1,128,19,2432,11.247928,1.586457
1,128,20,2560,11.321928,1.585864
1,128,27,3456,11.754888,1.631941
1,128,47,6016,12.554589,1.636321
1,128,147,18816,14.199672,1.687743
1,128,157,20096,14.294621,1.678602
1,128,181,23168,14.499846,1.734712
1,128,202,25856,14.658211,1.714327
1,128,207,26496,14.693487,1.714761
1,128,271,34688,15.082149,1.742926
1,128,279,35712,15.124121,1.740749
1,128,317,40576,15.308339,1.781280
1,128,991,126848,16.952741,2.045645
1,128,1171,149888,17.193525,2.100829
1,128,1550,198400,17.598053,2.231574
1,128,1728,221184,17.754888,2.268701
1,128,2407,308096,18.233020,2.501803
1,128,2443,312704,18.254438,2.514939
1,128,3069,392832,18.583553,2.705821
1,128,5175,662400,19.337343,3.345894
1,128,5626,720128,19.457894,3.498750
1,128,8463,1083264,20.046953,3.926598
1,128,8964,1147392,20.129927,4.084384
1,128,13624,1743872,20.733863,5.173037
1,128,28105,3597440,21.778539,8.428037
1,128,28196,3609088,21.783203,8.462785
1,128,30968,3963904,21.918491,8.931119
1,128,35196,4505088,22.103124,10.353813
1,128,35968,4603904,22.134426,10.619498
1,128,41615,5326720,22.344816,11.527580
1,128,41633,5329024,22.345440,11.610000
1,128,44731,5725568,22.448987,11.999292
1,256,8,2048,11.000000,1.631917
1,256,9,2304,11.169925,1.675509
1,256,10,2560,11.321928,1.630979
1,256,11,2816,11.459432,1.625664
1,256,20,5120,12.321928,1.617358
1,256,22,5632,12.459432,1.631196
1,256,25,6400,12.643856,1.632133
1,256,31,7936,12.954196,1.628279
1,256,34,8704,13.087463,1.676993
1,256,44,11264,13.459432,1.677343
1,256,50,12800,13.643856,1.676502
1,256,59,15104,13.882643,1.677492
1,256,67,17152,14.066089,1.675750
1,256,135,34560,15.076816,1.781231
1,256,164,41984,15.357552,1.978339
1,256,167,42752,15.383704,1.957125
1,256,247,63232,15.948367,1.936823
1,256,291,74496,16.184875,1.957446
1,256,356,91136,16.475733,1.959731
1,256,432,110592,16.754888,2.001064
1,256,455,116480,16.829723,2.016866
1,256,496,126976,16.954196,2.060511
1,256,685,175360,17.419960,2.187820
1,256,692,177152,17.434628,2.194470
1,256,790,202240,17.625709,2.280550
1,256,1587,406272,18.632086,2.735079
1,256,2719,696064,19.408860,3.488871
1,256,10171,2603776,21.312174,6.982717
1,256,13038,3337728,21.670435,8.184155
1,256,18450,4723200,22.171333,10.658836
1,256,21544,5515264,22.394999,12.132123
1,512,11,5632,12.459432,1.677605
1,512,13,6656,12.700440,1.636112
1,512,14,7168,12.807355,1.631958
1,512,23,11776,13.523562,1.649078
1,512,30,15360,13.906891,1.676730
1,512,36,18432,14.169925,1.740729
1,512,46,23552,14.523562,1.740684
1,512,49,25088,14.614710,1.743891
1,512,50,25600,14.643856,1.744327
1,512,79,40448,15.303781,1.808973
1,512,81,41472,15.339850,1.901392
1,512,84,43008,15.392317,1.808048
1,512,110,56320,15.781360,1.859566
1,512,149,76288,16.219169,1.956999
1,512,153,78336,16.257388,1.958001
1,512,165,84480,16.366322,1.959743
1,512,192,98304,16.584963,1.951707
1,512,211,108032,16.721099,1.958343
1,512,267,136704,17.060696,2.083006
1,512,310,158720,17.276124,2.132706
1,512,648,331776,18.339850,2.558279
1,512,937,479744,18.871905,2.910022
1,512,1306,668672,19.350939,3.370795
1,512,1629,834048,19.669771,3.899448
1,512,2054,1051648,20.004220,4.346210
1,512,2088,1069056,20.027906,4.361963
1,512,2250,1152000,20.135709,4.607648
1,512,2442,1250304,20.253847,4.776484
1,512,4269,2185728,21.059682,7.097991
1,512,4763,2438656,21.217655,7.836073
1,512,8028,4110336,21.970825,11.894817
1,512,8656,4431872,22.079485,9.744267
1,512,12121,6205952,22.565221,12.936826
1,512,14592,7471104,22.832890,15.222509
1,512,25869,13244928,23.658937,25.486279
1,512,33434,17118208,24.029028,31.750776
1,512,33831,17321472,24.046058,33.375454
1,512,34812,17823744,24.087297,33.950251
1,512,35856,18358272,24.129927,33.505000
1,512,38631,19779072,24.237471,36.897945
1,512,43682,22365184,24.414751,44.419153
1,1024,9,9216,13.169925,1.678011
1,1024,10,10240,13.321928,1.677448
1,1024,11,11264,13.459432,1.677802
1,1024,18,18432,14.169925,1.730419
1,1024,21,21504,14.392317,1.717931
1,1024,25,25600,14.643856,1.741234
1,1024,28,28672,14.807355,1.740961
1,1024,71,72704,16.149747,1.958446
1,1024,75,76800,16.228819,1.957495
1,1024,83,84992,16.375039,1.959825
1,1024,110,112640,16.781360,1.958388
1,1024,127,130048,16.988685,2.048487
1,1024,133,136192,17.055282,2.077784
1,1024,169,173056,17.400879,2.180063
1,1024,249,254976,17.960002,2.356198
1,1024,253,259072,17.982994,2.362423
1,1024,265,271360,18.049849,2.401625
1,1024,276,282624,18.108524,2.433346
1,1024,298,305152,18.219169,2.496380
1,1024,346,354304,18.434628,2.653895
1,1024,504,516096,18.977280,3.087828
1,1024,886,907264,19.791163,3.992650
1,1024,1064,1089536,20.055282,4.425137
1,1024,1354,1386496,20.403012,5.166849
1,1024,1951,1997824,20.929998,6.678699
1,1024,2518,2578432,21.298063,8.091758
1,1024,3805,3896320,21.893681,11.407306
1,1024,4689,4801536,22.195065,10.761644
1,1024,5224,5349376,22.350939,11.763037
1,1024,5745,5882880,22.488091,12.565753
1,1024,5876,6017024,22.520619,12.776164
1,1024,6787,6949888,22.728558,14.465662
1,1024,7471,7650304,22.867086,16.203995
1,1024,7976,8167424,22.961450,16.838607
1,1024,8890,9103360,23.117968,18.249269
1,1024,9027,9243648,23.140031,18.483833
1,1024,9437,9663488,23.204113,19.076050
1,1024,21746,22267904,24.408462,42.994863
1,1024,22750,23296000,24.473579,45.787329
1,1024,23340,23900160,24.510517,47.383196
1,1024,24010,24586240,24.551348,48.289084
1,1024,28901,29594624,24.818832,56.601324
1,1024,37849,38757376,25.207968,75.083973
1,1024,37999,38910976,25.213674,75.291801
2,1,11,22,4.459432,1.043609
2,1,12,24,4.584963,1.044666
2,1,13,26,4.700440,1.043453
2,1,28,56,5.807355,1.044026
2,1,58,116,6.857981,1.044104
2,1,116,232,7.857981,1.044203
2,1,126,252,7.977280,1.044549
2,1,154,308,8.266787,1.043426
2,1,179,358,8.483816,1.043845
2,1,190,380,8.569856,1.044202
2,1,293,586,9.194757,1.043965
2,1,298,596,9.219169,1.044710
2,1,309,618,9.271463,1.042691
2,1,1958,3916,11.935165,1.681322
2,1,2206,4412,12.107217,1.672414
2,1,2494,4988,12.284246,1.676043
