d0,d1,d2,size,log2_size,latency_us
1,1,11,11,3.459432,1.034200
1,1,16,16,4.000000,1.034881
1,1,20,20,4.321928,1.034958
1,1,22,22,4.459432,1.035543
1,1,33,33,5.044394,1.034700
1,1,46,46,5.523562,1.035496
1,1,48,48,5.584963,1.034694
1,1,49,49,5.614710,1.035415
1,1,59,59,5.882643,1.035115
1,1,66,66,6.044394,1.035582
1,1,75,75,6.228819,1.034524
1,1,87,87,6.442943,1.034709
1,1,111,111,6.794416,1.035351
1,1,149,149,7.219169,1.035734
1,1,227,227,7.826548,1.036847
1,1,636,636,9.312883,1.565301
1,1,698,698,9.447083,1.575467
1,1,797,797,9.638436,1.611455
1,1,931,931,9.862637,1.631008
1,1,1006,1006,9.974415,1.631176
1,1,1115,1115,10.122828,1.565833
1,1,1437,1437,10.488844,1.595403
1,1,1446,1446,10.497852,1.589884
1,1,1619,1619,10.660887,1.645641
1,1,1695,1695,10.727070,1.628233
1,1,2434,2434,11.249113,1.630798
1,1,4739,4739,12.210367,1.677375
1,1,10690,10690,13.383974,1.779699
1,1,14019,14019,13.775096,1.807960
1,1,20704,20704,14.337622,1.956261
1,1,21218,21218,14.373001,1.955465
1,1,35734,35734,15.125010,2.129509
1,1,49863,49863,15.605682,2.286937
1,8,10,80,6.321928,1.034085
1,8,16,128,7.000000,1.033858
1,8,19,152,7.247928,1.034517
1,8,27,216,7.754888,1.033875
1,8,28,224,7.807355,1.035102
1,8,36,288,8.169925,1.034491
1,8,39,312,8.285402,1.034153
1,8,42,336,8.392317,1.034794
1,8,71,568,9.149747,1.035004
1,8,81,648,9.339850,1.032915
1,8,85,680,9.409391,1.034219
1,8,90,720,9.491853,1.034104
1,8,116,928,9.857981,1.033702
1,8,126,1008,9.977280,1.034174
1,8,148,1184,10.209453,1.600786
1,8,155,1240,10.276124,1.601283
1,8,165,1320,10.366322,1.600779
1,8,185,1480,10.531381,1.621502
1,8,208,1664,10.700440,1.601354
1,8,250,2000,10.965784,1.611328
1,8,267,2136,11.060696,1.566131
1,8,283,2264,11.144658,1.566566
1,8,300,2400,11.228819,1.564462
1,8,312,2496,11.285402,1.565351
1,8,336,2688,11.392317,1.566254
1,8,490,3920,11.936638,1.625661
1,8,527,4216,12.041659,1.629972
1,8,602,4816,12.233620,1.630635
1,8,705,5640,12.461479,1.602190
1,8,846,6768,12.724514,1.610194
1,8,1235,9880,13.270295,1.649325
1,8,1619,12952,13.660887,1.676445
1,8,2567,20536,14.325868,1.677233
1,8,2582,20656,14.334273,1.677181
1,8,3222,25776,14.653741,1.723236
1,8,3726,29808,14.863412,1.740619
1,8,3811,30488,14.895954,1.740177
1,8,4292,34336,15.067434,1.741466
1,8,7511,60088,15.874789,1.849338
1,8,7749,61992,15.919794,1.957360
1,8,9317,74536,16.185650,1.957850
1,8,10422,83376,16.347345,1.956684
1,8,12212,97696,16.576012,1.959900
1,8,16946,135568,17.048657,2.056579
1,8,30026,240208,17.873925,2.350236
1,8,45294,362352,18.467032,2.660108
1,8,48074,384592,18.552969,2.724517
1,8,48314,386512,18.560154,2.720874
1,16,8,128,7.000000,1.032979
1,16,9,144,7.169925,1.629974
1,16,10,160,7.321928,1.609533
1,16,14,224,7.807355,1.602840
1,16,22,352,8.459432,1.603970
1,16,29,464,8.857981,1.611843
1,16,31,496,8.954196,1.612547
1,16,49,784,9.614710,1.603229
1,16,76,1216,10.247928,1.603425
1,16,112,1792,10.807355,1.604404
1,16,126,2016,10.977280,1.603747
1,16,128,2048,11.000000,1.599177
1,16,159,2544,11.312883,1.630549
1,16,183,2928,11.515700,1.630637
1,16,192,3072,11.584963,1.630537
1,16,219,3504,11.774787,1.612087
1,16,273,4368,12.092757,1.601211
1,16,274,4384,12.098032,1.594377
1,16,298,4768,12.219169,1.597303
1,16,331,5296,12.370687,1.594735
1,16,392,6272,12.614710,1.624706
1,16,693,11088,13.436712,1.677802
1,16,828,13248,13.693487,1.676668
1,16,994,15904,13.957102,1.677487
1,16,1152,18432,14.169925,1.678895
1,16,1347,21552,14.395534,1.742301
1,16,1393,22288,14.443980,1.741260
1,16,1532,24512,14.581201,1.672552
1,16,1567,25072,14.613789,1.707099
1,16,3936,62976,15.942515,1.958006
1,16,4087,65392,15.996827,1.957967
1,16,4167,66672,16.024793,1.959360
1,16,4879,78064,16.252370,1.954501
1,16,5281,84496,16.366595,1.956215
1,16,6413,102608,16.646784,1.959507
1,16,7203,115248,16.814382,1.960485
1,16,7612,121792,16.894060,2.004646
1,16,9046,144736,17.143064,2.088191
1,16,17040,272640,18.056638,2.416559
1,16,17371,277936,18.084393,2.433151
1,16,22221,355536,18.439636,2.603761
1,16,24311,388976,18.569322,2.686836
1,16,25594,409504,18.643518,2.731161
1,16,27190,435040,18.730789,2.807783
1,16,33635,538160,19.037676,3.052460
1,16,35340,565440,19.109014,3.117196
1,16,42689,683024,19.381577,3.443963
1,16,44560,712960,19.443462,3.522020
1,64,11,704,9.459432,1.603824
1,64,15,960,9.906891,1.603100
1,64,34,2176,11.087463,1.630755
1,64,58,3712,11.857981,1.630582
1,64,60,3840,11.906891,1.630422
1,64,98,6272,12.614710,1.624238
1,64,99,6336,12.629357,1.677699
1,64,174,11136,13.442943,1.676794
1,64,385,24640,14.588715,1.737733
1,64,568,36352,15.149747,1.763145
1,64,580,37120,15.179909,1.767132
1,64,632,40448,15.303781,1.764285
1,64,1028,65792,16.005625,1.955726
